"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"7","DPi","Alexander Rossi","4","4:21.401","20:39.842","Finish","Track","88.316","13.565","33.961","21.724","37.979","15.126","25.540","0.846","18.596","2.188","3.560","100.204","78.943"
"57","GTD","Ana Beatriz","2","16:20.579","20:40.465","Finish","Pit","776.551","17.382","39.682","23.311","41.004","15.620","30.238","1.076","20.824","4.264","10.627","78.785","40.508"
"911","GTLM","Patrick Pilet","3","4:43.334","20:54.879","Finish","Track","101.759","12.877","31.725","22.302","40.710","15.868","30.104","1.069","19.233","2.684","5.003","79.301","64.354"
"12","GTD","Aaron Telitz","4","4:26.192","20:57.859","Finish","Track","83.033","14.362","33.673","21.204","38.924","15.878","30.810","1.166","20.064","2.530","4.548","72.704","68.272"
"6","DPi","Dane Cameron","5","3:31.176","21:02.550","Finish","Pit","11.867","10.563","39.461","24.565","43.810","16.192","29.919","1.101","19.205","3.648","10.845","76.996","47.348"
"38","LMP2","Cameron Cassels","4","3:40.329","21:09.980","Finish","Pit","10.733","10.961","39.313","25.125","44.397","16.402","32.285","0.992","21.474","4.770","13.877","85.456","36.211"
"4","GTLM","Tommy Milner","2","16:08.285","21:14.998","Finish","Pit","783.927","15.958","34.546","21.344","38.447","14.387","26.851","0.930","18.209","3.633","10.053","91.153","47.544"
"73","GTD","Patrick Lindsey","2","17:11.857","21:17.951","Finish","Pit","11.237","10.857","36.235","22.236","41.725","16.746","33.188","1.218","20.936","4.383","833.096","69.600","39.408"
"5","DPi","Joao Barbosa","2","16:31.068","21:25.612","Finish","Pit","795.074","17.613","40.448","22.326","39.113","13.439","28.282","0.979","19.303","4.238","10.253","86.591","40.757"
"52","LMP2","Anders Fjorback","3","3:52.065","21:33.520","Finish","Track","61.696","14.225","34.340","20.380","38.063","14.788","24.262","0.779","17.843","2.072","3.617","108.822","83.363"
"33","GTD","Felipe Fraga","4","2:49.580","21:43.475","Finish","Pit","7.862","9.088","30.413","19.378","34.169","12.718","23.327","0.803","17.878","3.726","10.218","105.570","46.357"
"31","DPi","Pipo Derani","3","6:08.474","22:30.137","Finish","Pit","171.890","17.209","39.984","23.185","39.971","13.938","26.474","0.982","20.370","4.196","10.275","86.327","41.165"
