"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"15","GS","Myatt Snider","5","2:13.441","11:19.419","Green","Track","6.376","6.128","27.570","16.756","29.358","9.922","20.412","0.589","11.640","1.633","3.057","143.927","105.773"
"46","GS","Owen Trinkler","5","2:24.797","11:24.604","Green","Pit","6.327","6.216","26.983","16.469","29.376","10.227","20.362","0.669","13.661","4.068","10.439","126.716","42.460"
"4","GS","Guy Cosmo","5","2:21.809","11:29.435","Green","Pit","6.335","6.172","26.604","16.683","29.371","10.000","20.246","0.610","12.571","2.988","10.229","138.972","57.807"
"22","GS","Matt Crafton","5","2:13.657","11:31.575","Green","Track","6.415","6.303","27.042","16.700","29.419","10.055","20.504","0.588","11.849","1.674","3.108","144.171","103.182"
"60","GS","Nate Stacy","5","2:12.901","11:36.424","Green","Track","6.365","6.318","26.898","16.639","29.061","10.163","20.225","0.586","11.968","1.629","3.049","144.663","106.033"
"7","GS","Alan Brynjolfsson","5","2:14.170","11:44.492","Green","Track","6.418","6.372","27.191","16.747","29.752","10.131","20.525","0.586","11.722","1.654","3.072","144.663","104.430"
"98","TCR","Michael Lewis","5","2:24.582","11:45.784","Green","Pit","6.677","6.125","27.479","17.160","30.237","10.483","20.876","0.620","12.160","2.689","10.076","136.730","64.235"
"56","GS","Eric Foss","3","2:12.761","11:51.881","Green","Track","6.349","6.168","26.765","16.618","29.390","10.215","20.319","0.585","11.661","1.640","3.051","144.911","105.322"
"69","GS","Corey Fergus","3","2:12.509","11:52.923","Green","Track","6.297","6.453","26.905","16.410","29.029","10.238","20.221","0.567","11.770","1.623","2.996","149.511","106.425"
"61","TCR","Jon Morley","4","2:19.151","11:53.982","Green","Track","6.844","6.358","27.860","17.371","30.648","10.903","21.581","0.619","11.976","1.748","3.243","136.951","98.814"
"59","GS","Rod Randall","5","2:16.729","11:59.183","Green","Track","6.470","6.809","27.595","16.929","30.035","10.308","20.519","0.586","12.684","1.685","3.109","144.663","102.509"
"40","GS","James Pesek","5","2:17.312","12:03.291","Green","Track","6.604","6.722","28.765","16.992","29.810","10.099","20.477","0.585","12.498","1.667","3.093","144.911","103.616"
"65","GS","Justin Piscitell","4","2:22.972","12:09.345","Green","Pit","6.593","6.574","27.663","16.946","29.569","10.044","20.285","0.586","12.008","2.596","10.108","144.663","66.536"
"10","TCR","Kieron O'Rourke","4","4:22.794","12:11.314","Green","Track","111.497","17.545","33.806","17.721","31.230","10.736","22.075","0.693","12.585","1.711","3.195","122.327","100.951"
