"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"86","GTD","Mario Farnbacher","50","1:22.875","1:10:50.185","Green","Track","4.407","7.414","4.429","8.706","7.685","1.999","0.540","7.165","14.999","15.198","5.695","4.638","151.515"
"8","GTD","Ryan Dalziel","49","1:22.927","1:10:51.997","Green","Track","4.398","7.403","4.409","8.441","7.786","2.032","0.545","7.095","15.086","15.385","5.715","4.632","150.125"
"44","GTD","Andy Lally","49","1:22.669","1:10:56.542","Green","Track","4.293","7.296","4.360","8.474","7.738","2.011","0.540","7.005","15.335","15.357","5.629","4.631","151.515"
"24","GTLM","John Edwards","51","1:21.217","1:10:56.773","Green","Track","4.118","7.603","4.381","8.273","7.447","1.941","0.520","6.955","14.770","15.012","5.629","4.568","157.343"
"5","DPi","Filipe Albuquerque","55","1:13.949","1:10:57.656","Green","Track","3.786","6.247","3.918","7.728","6.919","1.814","0.488","6.269","13.517","13.602","5.389","4.272","167.660"
"14","GTD","Jack Hawksworth","50","1:22.313","1:10:57.664","Green","Track","4.206","7.343","4.349","8.344","7.679","2.000","0.539","7.249","15.062","15.182","5.740","4.620","151.796"
"7","DPi","Ricky Taylor","55","1:13.515","1:10:58.514","Green","Track","3.741","6.213","3.851","7.833","6.854","1.786","0.480","6.378","13.580","13.364","5.183","4.252","170.455"
"9","GTD","Scott Hargrove","50","1:21.360","1:11:15.785","Green","Track","4.258","7.168","4.343","8.311","7.761","2.045","0.552","6.862","14.853","15.041","5.611","4.555","148.221"
"48","GTD","Bryan Sellers","50","1:22.097","1:11:17.953","Green","Track","4.241","7.416","4.362","8.380","7.681","2.001","0.537","7.028","14.997","15.242","5.669","4.543","152.362"
"57","GTD","Katherine Legge","50","1:22.032","1:11:28.295","Green","Track","4.203","7.281","4.341","8.495","7.686","2.004","0.538","6.820","15.168","15.156","5.730","4.610","152.078"
"12","GTD","Townsend Bell","50","1:22.083","1:11:29.660","Green","Track","4.231","7.257","4.339","8.414","7.748","2.027","0.544","6.921","14.971","15.301","5.711","4.619","150.401"
"19","GTD","Alex Riberas","50","1:22.234","1:11:30.785","Green","Track","4.292","7.354","4.306","8.491","7.679","1.999","0.536","7.024","15.057","15.219","5.696","4.581","152.646"
"54","DPi","Colin Braun","54","1:14.666","1:11:31.863","Green","Track","3.663","6.329","3.856","7.955","6.722","1.765","0.476","6.375","13.959","13.996","5.305","4.265","171.887"
"74","GTD","Lawson Aschenbach","50","1:22.260","1:11:33.214","Green","Track","4.274","7.348","4.368","8.368","7.724","2.026","0.545","6.998","14.995","15.326","5.720","4.568","150.125"
"63","GTD","Toni Vilander","50","1:22.122","1:11:36.570","Green","Track","4.197","7.356","4.381","8.399","7.735","2.005","0.539","6.977","15.019","15.224","5.739","4.551","151.796"
"52","LMP2","Matthew McMurry","51","1:15.573","1:11:37.000","Green","Track","3.870","6.458","4.052","8.157","7.082","1.840","0.494","6.338","13.826","13.748","5.417","4.291","165.624"
"77","DPi","Oliver Jarvis","56","1:13.500","1:11:38.095","Green","Track","3.693","6.372","3.893","7.872","6.776","1.781","0.480","6.370","13.628","13.280","5.300","4.055","170.455"
"6","DPi","Juan Pablo Montoya","56","1:14.025","1:11:42.109","Green","Track","3.834","6.460","3.881","7.786","6.853","1.788","0.480","6.416","13.704","13.568","5.073","4.182","170.455"
"3","GTLM","Antonio Garcia","52","1:20.117","1:11:43.753","Green","Track","4.110","6.957","4.274","8.311","7.549","1.970","0.528","6.836","14.618","14.880","5.554","4.530","154.959"
"84","DPi","Simon Trummer","55","1:15.115","1:11:44.144","Green","Track","3.838","6.490","4.042","8.167","6.954","1.826","0.490","6.380","13.797","13.677","5.279","4.175","166.976"
"38","LMP2","Cameron Cassels","19","1:20.286","1:11:47.793","Green","Track","4.028","7.145","4.405","8.447","7.336","1.912","0.511","7.127","14.673","14.653","5.536","4.513","160.114"
"10","DPi","Jordan Taylor","55","1:16.571","1:11:47.820","Green","Track","3.811","6.346","3.991","7.916","6.919","1.818","0.488","6.646","14.200","14.573","5.630","4.233","167.660"
"50","DPi","Will Owen","55","1:15.286","1:11:49.895","Green","Track","3.881","6.298","3.921","7.887","6.904","1.811","0.486","6.338","13.829","13.968","5.528","4.435","168.350"
"73","GTD","Patrick Long","50","1:23.288","1:11:49.957","Green","Track","4.324","7.246","4.383","8.498","7.832","2.035","0.547","7.296","15.390","15.398","5.611","4.728","149.576"
"912","GTLM","Earl Bamber","52","1:20.581","1:11:50.608","Green","Track","4.154","7.067","4.351","8.433","7.527","1.965","0.529","6.938","14.543","15.028","5.554","4.492","154.666"
"55","DPi","Ryan Hunter-Reay","56","1:14.961","1:11:54.241","Green","Track","3.655","6.099","3.872","7.767","6.738","1.779","0.478","6.731","14.712","13.776","5.262","4.092","171.168"
"25","GTLM","Tom Blomqvist","52","1:21.047","1:11:55.998","Green","Track","4.307","7.389","4.356","8.298","7.514","1.958","0.526","6.818","14.712","14.999","5.732","4.438","155.548"
"76","GTD","Paul Holton","50","1:23.576","1:11:58.232","Green","Track","4.433","7.446","4.483","8.738","7.737","2.028","0.547","7.125","15.212","15.445","5.720","4.662","149.576"
"85","DPi","Misha Goikhberg","55","1:16.659","1:12:02.980","Green","Track","3.849","6.319","3.962","7.807","6.951","1.836","0.493","6.825","14.768","14.317","5.366","4.166","165.960"
"31","DPi","Pipo Derani","56","1:16.925","1:12:04.063","Green","Track","3.821","6.521","3.951","7.914","6.911","1.810","0.486","6.432","14.244","14.836","5.633","4.366","168.350"
"911","GTLM","Nick Tandy","52","1:20.652","1:12:04.013","Green","Track","4.150","7.097","4.288","8.276","7.490","1.964","0.528","6.951","14.743","15.041","5.599","4.525","154.959"
"66","GTLM","Dirk Mueller","52","1:20.902","1:12:07.111","Green","Track","4.195","7.147","4.303","8.286","7.573","1.968","0.529","6.913","14.699","15.042","5.696","4.551","154.666"
"67","GTLM","Richard Westbrook","52","1:20.561","1:12:07.722","Green","Track","4.206","7.199","4.343","8.153","7.583","1.973","0.529","6.918","14.693","14.920","5.527","4.517","154.666"
"86","GTD","Mario Farnbacher","51","1:22.285","1:12:12.470","Green","Track","4.316","7.405","4.358","8.464","7.697","2.011","0.541","7.138","14.919","15.189","5.615","4.632","151.235"
"5","DPi","Filipe Albuquerque","56","1:15.180","1:12:12.836","Green","Track","3.921","6.675","3.952","7.871","6.924","1.815","0.489","6.372","13.732","13.978","5.275","4.176","167.317"
"8","GTD","Ryan Dalziel","50","1:23.158","1:12:15.155","Green","Track","4.326","7.344","4.440","8.450","7.807","2.041","0.547","7.153","15.032","15.408","5.742","4.868","149.576"
"7","DPi","Ricky Taylor","56","1:16.603","1:12:15.117","Green","Track","3.890","6.637","3.999","8.619","6.966","1.810","0.487","6.376","13.578","13.830","5.714","4.697","168.004"
"24","GTLM","John Edwards","52","1:20.934","1:12:17.707","Green","Track","4.227","7.289","4.340","8.366","7.510","1.956","0.526","7.034","14.746","14.844","5.577","4.519","155.548"
"44","GTD","Andy Lally","50","1:23.189","1:12:19.731","Green","Track","4.276","7.347","4.396","8.910","7.686","1.997","0.536","7.049","15.286","15.342","5.749","4.615","152.646"
"14","GTD","Jack Hawksworth","51","1:22.466","1:12:20.130","Green","Track","4.243","7.398","4.361","8.489","7.683","2.003","0.538","6.960","15.013","15.353","5.816","4.609","152.078"
"9","GTD","Scott Hargrove","51","1:21.524","1:12:37.309","Green","Track","4.234","7.220","4.339","8.373","7.765","2.046","0.553","6.937","14.824","15.027","5.631","4.575","147.953"
"48","GTD","Bryan Sellers","51","1:22.003","1:12:39.956","Green","Track","4.239","7.364","4.324","8.444","7.676","2.001","0.537","6.902","15.021","15.282","5.697","4.516","152.362"
"54","DPi","Colin Braun","55","1:14.660","1:12:46.523","Green","Track","3.768","6.682","3.890","7.958","6.706","1.764","0.475","6.463","13.738","13.722","5.331","4.163","172.249"
"57","GTD","Katherine Legge","51","1:22.513","1:12:50.808","Green","Track","4.172","7.320","4.339","8.436","7.656","2.006","0.538","7.147","15.300","15.279","5.700","4.620","152.078"
"12","GTD","Townsend Bell","51","1:22.447","1:12:52.107","Green","Track","4.235","7.285","4.352","8.475","7.744","2.021","0.544","6.919","14.993","15.465","5.689","4.725","150.401"
"19","GTD","Alex Riberas","51","1:22.408","1:12:53.193","Green","Track","4.277","7.325","4.316","8.572","7.661","1.995","0.536","7.054","15.053","15.319","5.683","4.617","152.646"
"77","DPi","Oliver Jarvis","57","1:15.283","1:12:53.378","Green","Track","3.688","6.524","3.948","8.127","6.720","1.774","0.477","6.270","14.357","14.086","5.237","4.075","171.527"
"74","GTD","Lawson Aschenbach","51","1:22.295","1:12:55.509","Green","Track","4.270","7.354","4.373","8.380","7.697","2.024","0.544","6.958","14.998","15.363","5.742","4.592","150.401"
