"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"63","GTD","Jeff Westphal","8","1:46.058","14:54.775","Green","Track","3.299","8.668","12.595","3.955","0.509","13.686","21.605","14.480","17.973","5.845","3.443","161.413"
"57","GTD","Christina Nielsen","8","2:03.566","14:58.296","Green","Pit","3.293","8.947","12.721","3.936","0.507","14.706","22.270","14.686","18.474","11.524","12.502","162.049"
"73","GTD","Nicholas Boulle","8","1:48.955","15:35.380","Finish","Track","3.361","9.050","12.654","3.965","0.511","14.515","22.446","14.623","18.223","6.115","3.492","160.781"
"8","GTD","Parker Chase","8","1:48.041","15:40.271","Finish","Track","3.397","8.843","12.929","4.052","0.520","14.038","22.017","14.797","17.992","5.930","3.526","157.998"
"48","GTD","Ryan Hardwick","8","1:46.648","15:54.808","Finish","Track","3.294","8.907","12.474","3.878","0.500","14.104","22.041","14.363","17.758","5.881","3.448","164.318"
"47","GTD","Brandon Gdovic","8","1:46.388","16:12.997","Finish","Track","3.309","8.816","12.625","3.954","0.509","13.761","21.909","14.431","17.804","5.822","3.448","161.413"
"63","GTD","Jeff Westphal","9","3:04.516","17:59.291","Finish","Pit","3.309","8.785","12.620","3.958","0.510","14.270","22.235","14.721","18.714","10.965","74.429","161.096"
"4","GTLM","Tommy Milner","1","27:59.982","27:59.982","Green","Track","0.000","11.412","14.815","4.123","0.554","16.103","23.658","14.878","18.518","6.083","3.454","148.302"
"67","GTLM","Richard Westbrook","1","28:31.962","28:31.962","Green","Track","15.217","10.947","14.918","4.180","0.591","15.917","22.345","14.524","18.064","5.715","3.362","139.017"
"3","GTLM","Antonio Garcia","1","28:47.177","28:47.177","Green","Track","0.000","11.714","15.256","4.215","0.572","15.993","23.033","14.819","18.078","5.833","3.391","143.635"
"911","GTLM","Nick Tandy","1","29:13.707","29:13.707","Green","Track","0.000","10.636","14.237","4.079","0.537","16.506","24.081","15.364","19.059","6.074","3.469","152.996"
"4","GTLM","Tommy Milner","2","1:46.056","29:46.038","Green","Track","3.408","9.146","12.317","3.856","0.506","14.206","21.944","14.472","17.264","5.623","3.314","162.370"
"912","GTLM","Laurens Vanthoor","1","29:46.190","29:46.190","Green","Track","0.000","10.558","14.586","4.403","0.595","16.110","23.373","14.811","18.462","6.888","4.519","138.083"
"66","GTLM","Joey Hand","1","30:07.326","30:07.326","Green","Track","15.076","10.406","14.434","4.159","0.602","15.810","22.669","14.477","18.213","5.915","3.417","136.477"
"67","GTLM","Richard Westbrook","2","1:43.738","30:15.700","Green","Track","3.277","8.690","12.312","3.872","0.500","13.907","21.169","13.999","17.193","5.499","3.320","164.318"
"3","GTLM","Antonio Garcia","2","1:44.457","30:31.634","Green","Track","3.270","8.802","12.307","3.857","0.499","13.470","21.884","14.210","17.261","5.592","3.305","164.647"
"911","GTLM","Nick Tandy","2","1:46.979","31:00.686","Green","Track","3.356","9.179","12.383","3.890","0.506","14.718","22.005","14.453","17.520","5.620","3.349","162.370"
"24","GTLM","John Edwards","1","31:09.875","31:09.875","Green","Track","0.000","15.129","13.778","4.279","0.666","15.104","26.391","15.163","17.844","5.715","3.390","123.362"
"25","GTLM","Connor De Phillippi","1","31:19.045","31:19.045","Green","Track","0.000","9.625","13.069","5.344","0.654","17.713","24.118","15.715","19.704","5.791","3.390","125.626"
"4","GTLM","Tommy Milner","3","1:42.123","31:28.161","Green","Track","3.201","8.573","12.154","3.814","0.493","13.087","20.943","13.853","16.980","5.696","3.329","166.651"
"912","GTLM","Laurens Vanthoor","2","1:45.716","31:31.906","Green","Track","3.897","9.033","12.322","3.880","0.501","13.799","21.710","14.217","17.376","5.634","3.347","163.990"
"66","GTLM","Joey Hand","2","1:43.621","31:50.947","Green","Track","3.298","8.786","12.363","3.892","0.503","13.659","21.153","13.950","17.190","5.497","3.330","163.338"
"67","GTLM","Richard Westbrook","3","1:41.702","31:57.402","Green","Track","3.215","8.484","12.283","3.868","0.500","12.962","20.786","13.934","16.905","5.446","3.319","164.318"
"3","GTLM","Antonio Garcia","3","1:41.341","32:12.975","Green","Track","3.197","8.525","12.124","3.793","0.490","13.006","20.728","13.758","16.964","5.482","3.274","167.672"
"911","GTLM","Nick Tandy","3","1:42.559","32:43.245","Green","Track","3.256","8.616","12.229","3.863","0.499","13.132","21.086","14.014","16.963","5.552","3.349","164.647"
"24","GTLM","John Edwards","2","1:43.510","32:53.385","Green","Track","3.341","8.762","12.229","3.854","0.497","13.837","21.000","13.939","17.228","5.506","3.317","165.310"
"25","GTLM","Connor De Phillippi","2","1:45.871","33:04.916","Green","Track","3.360","8.861","12.161","3.845","0.497","14.090","22.200","14.199","17.616","5.705","3.337","165.310"
"4","GTLM","Tommy Milner","4","1:41.638","33:09.799","Green","Track","3.205","8.530","12.056","3.780","0.488","12.917","20.909","13.838","17.003","5.616","3.296","168.359"
"912","GTLM","Laurens Vanthoor","3","1:42.412","33:14.318","Green","Track","3.238","8.617","12.172","3.839","0.496","13.048","21.110","13.971","17.056","5.537","3.328","165.643"
"66","GTLM","Joey Hand","3","1:41.641","33:32.588","Green","Track","3.231","8.361","12.222","3.853","0.498","13.026","20.770","13.913","17.057","5.402","3.308","164.978"
"67","GTLM","Richard Westbrook","4","1:41.262","33:38.664","Green","Track","3.223","8.375","12.176","3.829","0.494","12.766","20.819","13.906","16.946","5.428","3.300","166.314"
"3","GTLM","Antonio Garcia","4","1:41.393","33:54.368","Green","Track","3.177","8.466","12.020","3.770","0.487","12.970","20.928","13.809","16.951","5.503","3.312","168.704"
"911","GTLM","Nick Tandy","4","1:44.638","34:27.883","Green","Track","3.240","8.586","12.188","3.837","0.496","14.737","21.461","14.122","17.118","5.527","3.326","165.643"
"24","GTLM","John Edwards","3","1:41.519","34:34.904","Green","Track","3.214","8.370","12.147","3.827","0.495","12.915","21.045","13.781","16.891","5.516","3.318","165.978"
"25","GTLM","Connor De Phillippi","3","1:42.218","34:47.134","Green","Track","3.233","8.454","12.119","3.824","0.493","13.293","21.103","13.856","16.922","5.592","3.329","166.651"
"4","GTLM","Tommy Milner","5","1:41.291","34:51.090","Green","Track","3.184","8.475","12.029","3.762","0.486","12.872","20.829","13.774","16.950","5.606","3.324","169.052"
"912","GTLM","Laurens Vanthoor","4","1:42.206","34:56.524","Green","Track","3.224","8.468","12.153","3.829","0.495","13.195","20.954","13.892","17.137","5.527","3.332","165.978"
