"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"912","GTLM","Laurens Vanthoor","2","1:59.375","33:23.182","Green","Track","5.625","5.243","24.531","15.017","26.902","9.074","18.248","0.528","10.132","1.416","2.659","160.554","121.983"
"67","GTLM","Richard Westbrook","4","1:57.344","33:26.239","Green","Track","5.620","5.267","23.558","14.757","25.749","8.675","17.889","0.548","11.188","1.421","2.672","154.695","121.553"
"24","GTLM","Jesse Krohn","1","33:30.181","33:30.181","Green","Track","0.000","11.168","26.581","16.063","32.817","10.941","18.589","0.530","10.500","1.422","2.667","159.949","121.468"
"66","GTLM","Dirk Mueller","3","1:56.731","33:33.398","Green","Track","5.647","5.287","23.637","14.763","25.938","8.641","17.974","0.528","10.208","1.429","2.679","160.554","120.873"
"4","GTLM","Tommy Milner","4","1:56.309","34:02.235","Green","Track","5.630","5.263","23.871","14.631","25.661","8.699","17.783","0.528","10.159","1.419","2.665","160.554","121.725"
"3","GTLM","Antonio Garcia","3","1:56.158","34:17.289","Green","Track","5.635","5.272","23.703","14.576","25.634","8.738","17.816","0.527","10.175","1.420","2.662","160.859","121.639"
"911","GTLM","Patrick Pilet","4","2:22.447","35:01.025","Green","Pit","5.586","5.199","24.338","16.651","30.515","10.806","22.022","0.684","13.294","3.188","10.164","123.937","54.180"
"25","GTLM","Tom Blomqvist","2","1:59.707","35:05.464","Green","Track","5.842","5.804","24.256","15.181","26.206","9.129","18.089","0.531","10.594","1.411","2.664","159.647","122.415"
"912","GTLM","Laurens Vanthoor","3","1:56.042","35:19.224","Green","Track","5.579","5.150","23.603","14.622","25.654","8.696","17.900","0.524","10.246","1.413","2.655","161.780","122.242"
"24","GTLM","Jesse Krohn","2","1:56.486","35:26.667","Green","Track","5.601","5.207","23.926","14.718","25.722","8.796","17.678","0.526","10.182","1.440","2.690","161.165","119.949"
"66","GTLM","Dirk Mueller","4","1:59.958","35:33.356","Green","Track","5.605","5.310","26.342","15.290","25.966","8.699","17.814","0.528","10.286","1.432","2.686","160.554","120.620"
"67","GTLM","Richard Westbrook","5","2:13.073","35:39.312","Green","Pit","5.594","5.284","23.609","14.726","26.017","9.308","22.232","0.710","12.162","3.279","10.152","119.398","52.677"
"4","GTLM","Tommy Milner","5","1:56.248","35:58.483","Green","Track","5.603","5.268","23.829","14.637","25.638","8.625","17.842","0.527","10.196","1.418","2.665","160.859","121.810"
"3","GTLM","Antonio Garcia","4","1:56.473","36:13.762","Green","Track","5.592","5.283","23.786","14.676","25.756","8.718","17.736","0.526","10.323","1.416","2.661","161.165","121.983"
"25","GTLM","Tom Blomqvist","3","1:56.486","37:01.950","Green","Track","5.630","5.187","23.703","14.794","25.595","8.661","17.850","0.531","10.428","1.429","2.678","159.647","120.873"
"912","GTLM","Laurens Vanthoor","4","1:56.305","37:15.529","Green","Track","5.577","5.283","23.602","14.686","25.647","8.644","17.987","0.524","10.264","1.423","2.668","161.780","121.382"
