"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"7","DPi","Helio Castroneves","5","2:42.290","12:06.909","Green","Track","7.755","27.943","1.708","25.719","16.034","21.095","1.632","23.730","15.610","14.664","2.329","4.071","46.306","49.716"
"5","DPi","Joao Barbosa","5","2:41.073","12:07.397","Green","Track","7.706","27.664","1.453","25.505","16.938","21.000","1.601","23.098","15.021","14.654","2.314","4.119","54.433","50.679"
"10","DPi","Renger Van Der Zande","5","2:39.613","12:07.414","Green","Track","8.042","27.230","1.563","24.892","16.697","21.259","1.516","23.233","14.791","14.087","2.231","4.072","50.602","53.520"
"84","DPi","Simon Trummer","5","2:39.004","12:07.750","Green","Track","8.406","27.158","1.649","24.682","16.533","21.195","1.498","23.240","14.386","13.994","2.233","4.030","47.963","54.163"
"77","DPi","Tristan Nunez","5","2:38.496","12:08.025","Green","Track","8.345","27.250","1.626","25.086","15.962","21.630","1.495","23.240","14.298","13.398","2.198","3.968","48.641","54.272"
"50","DPi","Victor Franzoni","5","2:37.075","12:08.545","Green","Track","7.383","27.274","1.681","24.902","16.040","21.850","1.560","22.672","14.087","13.317","2.262","4.047","47.050","52.010"
"85","DPi","Misha Goikhberg","5","2:36.574","12:08.970","Green","Track","7.507","27.391","1.646","24.643","15.750","22.067","1.483","22.550","13.997","13.167","2.272","4.101","48.050","54.711"
"54","DPi","Jonathan Bennett","5","2:35.613","12:09.560","Green","Track","8.008","27.065","1.523","24.649","15.552","21.751","1.298","22.465","13.775","13.215","2.247","4.065","51.931","62.509"
"73","GTD","Zacharie Robichon","5","2:35.900","12:10.679","Green","Track","8.013","27.172","1.623","24.304","15.533","21.809","1.479","22.203","13.751","13.091","2.435","4.487","48.731","54.859"
"57","GTD","Christina Nielsen","5","2:35.299","12:10.897","Green","Track","8.147","28.574","1.547","22.825","15.459","21.877","1.331","22.108","13.493","13.080","2.417","4.441","51.125","60.959"
"86","GTD","Trent Hindman","5","2:34.947","12:11.643","Green","Track","8.076","28.093","1.612","23.430","15.013","21.890","1.464","21.943","13.097","13.293","2.512","4.524","49.064","55.421"
"14","GTD","Richard Heistand","5","2:34.671","12:11.995","Green","Track","8.167","28.544","1.724","23.076","15.218","23.727","1.551","20.209","12.483","12.927","2.498","4.547","45.876","52.312"
"12","GTD","Frank Montecalvo","5","2:33.045","12:12.671","Green","Track","7.277","28.117","1.774","22.994","16.110","23.042","1.204","20.822","12.112","12.502","2.523","4.568","44.583","67.389"
"76","GTD","Matt Plumb","5","2:31.913","12:13.120","Green","Track","7.948","26.989","1.791","22.524","16.767","23.024","1.161","20.785","11.446","12.434","2.489","4.555","44.160","69.885"
"44","GTD","John Potter","5","2:31.465","12:13.561","Green","Track","8.095","26.948","1.651","22.819","16.124","23.675","1.195","20.170","11.693","11.996","2.529","4.570","47.905","67.897"
"8","GTD","Parker Chase","5","2:30.599","12:13.970","Green","Track","8.071","26.877","1.533","22.575","16.129","23.882","1.305","19.541","11.809","11.733","2.537","4.607","51.592","62.173"
"74","GTD","Gar Robinson V","5","2:30.379","12:14.480","Green","Track","8.132","27.058","1.466","22.672","15.840","23.858","1.355","19.358","12.081","11.540","2.494","4.525","53.950","59.879"
"96","GTD","Robby Foley","5","2:29.759","12:14.589","Green","Track","8.393","26.935","1.650","22.334","15.773","24.006","1.326","19.346","11.632","11.468","2.380","4.516","47.934","61.189"
"48","GTD","Ryan Hardwick","5","2:28.562","12:15.347","Green","Track","7.556","27.867","1.440","23.020","14.560","23.431","1.289","19.600","11.845","10.985","2.456","4.513","54.924","62.945"
"6","DPi","Juan Pablo Montoya","6","1:28.710","13:34.349","Green","Track","3.366","11.819","0.511","13.935","10.176","8.871","0.519","13.413","10.262","9.718","2.153","3.967","154.777","156.332"
"31","DPi","Pipo Derani","6","1:28.646","13:34.902","Green","Track","3.474","11.904","0.513","13.826","10.409","8.789","0.515","13.386","10.043","9.701","2.129","3.957","154.173","157.546"
"55","DPi","Jonathan Bomarito","6","1:29.121","13:35.218","Green","Track","3.406","11.896","0.516","13.787","10.278","8.673","0.508","13.657","10.216","10.179","2.114","3.891","153.277","159.717"
"7","DPi","Helio Castroneves","6","1:29.526","13:36.435","Green","Track","3.399","11.806","0.508","14.086","10.612","8.804","0.512","13.651","10.362","9.720","2.122","3.944","155.691","158.469"
"5","DPi","Joao Barbosa","6","1:29.498","13:36.895","Green","Track","3.324","11.787","0.520","14.442","10.515","8.906","0.519","13.539","10.170","9.648","2.156","3.972","152.098","156.332"
"84","DPi","Simon Trummer","6","1:29.559","13:37.309","Green","Track","3.552","11.746","0.514","14.292","10.444","8.829","0.515","13.690","10.117","9.727","2.153","3.980","153.873","157.546"
