"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"48","GTD","Ryan Hardwick","42","1:46.611","1:37:09.655","Green","Track","3.767","13.641","0.644","15.306","11.153","11.914","0.704","15.579","11.563","14.801","2.784","4.755","122.812","115.251"
"54","DPi","Jonathan Bennett","40","1:26.641","1:37:12.668","Green","Track","3.199","11.522","0.495","13.098","10.011","8.640","0.505","13.223","10.082","9.899","2.109","3.858","159.780","160.666"
"5","DPi","Joao Barbosa","50","6:04.747","1:37:17.479","Green","Pit","262.742","15.154","0.632","14.794","10.421","8.854","0.561","13.973","9.908","11.025","5.138","11.545","125.144","144.628"
"74","GTD","Gar Robinson V","40","1:32.616","1:37:24.649","Green","Track","3.306","12.597","0.571","13.817","10.616","9.914","0.586","13.489","10.435","10.442","2.397","4.446","138.513","138.458"
"7","DPi","Helio Castroneves","41","1:23.299","1:37:38.785","Green","Track","2.904","10.600","0.496","12.243","9.256","8.714","0.518","13.079","10.139","9.424","2.065","3.861","159.457","156.634"
"96","GTD","Robby Foley","29","1:31.703","1:37:40.804","Green","Track","3.342","12.481","0.557","13.536","10.290","9.714","0.571","13.425","10.203","10.826","2.380","4.378","141.994","142.095"
"73","GTD","Zacharie Robichon","48","1:40.805","1:37:43.755","Green","Pit","3.319","12.507","0.563","13.485","10.204","9.751","0.577","13.147","10.234","10.031","5.392","11.595","140.481","140.618"
"77","DPi","Tristan Nunez","28","1:25.284","1:37:45.537","Green","Track","3.119","11.858","0.507","13.324","9.926","8.557","0.511","12.629","9.653","9.317","2.053","3.830","155.998","158.780"
"57","GTD","Christina Nielsen","37","6:07.295","1:37:54.154","Green","Track","272.751","16.718","0.596","14.541","10.808","10.046","0.583","13.705","10.317","10.415","2.400","4.415","132.703","139.170"
"86","GTD","Mario Farnbacher","34","1:30.199","1:38:08.858","Green","Track","3.307","12.474","0.558","13.391","10.284","9.706","0.576","13.094","10.128","9.967","2.351","4.363","141.740","140.862"
"6","DPi","Juan Pablo Montoya","39","1:21.960","1:38:11.655","Green","Track","2.814","10.783","0.497","12.617","9.474","8.675","0.511","12.243","9.444","8.997","2.053","3.852","159.137","158.780"
"55","DPi","Jonathan Bomarito","41","1:23.415","1:38:19.180","Green","Track","2.898","10.829","0.497","12.560","9.554","8.665","0.511","12.315","9.477","10.114","2.110","3.885","159.137","158.780"
"85","DPi","Misha Goikhberg","29","3:59.797","1:38:21.337","Green","Pit","3.087","11.164","0.507","13.288","9.964","8.808","0.521","12.621","9.951","9.843","7.199","152.844","155.998","155.732"
"10","DPi","Jordan Taylor","46","4:40.981","1:38:31.529","Green","Pit","180.496","13.589","0.519","13.756","10.449","9.215","0.587","15.289","10.411","10.180","5.233","11.257","152.391","138.222"
"44","GTD","Andy Lally","44","1:32.520","1:38:33.081","Green","Track","3.345","12.461","0.564","13.755","11.270","10.027","0.584","13.063","10.184","10.425","2.401","4.441","140.232","138.932"
"54","DPi","Jonathan Bennett","41","1:28.781","1:38:41.449","Green","Track","3.273","11.727","0.495","13.563","10.730","8.740","0.506","13.189","10.230","10.270","2.157","3.901","159.780","160.349"
"14","GTD","Richard Heistand","46","1:44.748","1:38:43.667","Green","Track","3.401","13.106","0.573","14.383","12.348","10.877","0.628","14.733","14.343","13.467","2.432","4.457","138.030","129.198"
"48","GTD","Ryan Hardwick","43","1:38.131","1:38:47.786","Green","Track","3.732","13.425","0.574","13.973","10.753","11.001","0.625","13.909","10.583","12.345","2.609","4.602","137.789","129.818"
"74","GTD","Gar Robinson V","41","1:32.777","1:38:57.426","Green","Track","3.204","12.617","0.567","13.641","10.636","9.864","0.585","13.522","10.701","10.623","2.387","4.430","139.490","138.695"
"12","GTD","Frank Montecalvo","44","2:42.562","1:39:04.622","Green","Track","58.095","17.490","0.616","18.035","12.254","10.850","0.610","14.798","11.627","11.213","2.463","4.511","128.394","133.010"
"77","DPi","Tristan Nunez","29","1:22.435","1:39:07.972","Green","Track","2.923","10.724","0.490","12.413","9.623","8.583","0.512","12.393","9.799","9.085","2.052","3.838","161.410","158.469"
"5","DPi","Joao Barbosa","51","1:53.171","1:39:10.650","Green","Track","11.999","14.087","0.517","14.027","12.685","14.467","0.992","16.393","11.735","10.212","2.122","3.935","152.980","81.791"
"7","DPi","Helio Castroneves","42","1:32.876","1:39:11.661","Green","Pit","2.837","10.692","0.497","12.192","9.342","8.805","0.515","12.790","9.760","9.284","4.868","11.294","159.137","157.546"
"96","GTD","Robby Foley","30","1:33.561","1:39:14.365","Green","Track","3.428","12.481","0.560","13.476","10.461","9.737","0.571","13.662","11.298","11.198","2.358","4.331","141.234","142.095"
"57","GTD","Christina Nielsen","38","1:30.632","1:39:24.786","Green","Track","3.319","12.565","0.563","13.329","10.317","9.860","0.578","13.184","10.123","10.016","2.378","4.400","140.481","140.374"
"6","DPi","Juan Pablo Montoya","40","1:21.594","1:39:33.249","Green","Track","2.802","10.644","0.495","12.687","9.387","8.684","0.514","12.120","9.378","8.898","2.098","3.887","159.780","157.853"
"55","DPi","Jonathan Bomarito","42","1:21.878","1:39:41.058","Green","Track","2.922","10.770","0.500","12.473","9.401","8.654","0.514","12.346","9.463","8.954","2.046","3.835","158.182","157.853"
"86","GTD","Mario Farnbacher","35","1:41.927","1:39:50.785","Green","Pit","3.320","12.542","0.560","14.063","10.487","9.784","0.577","13.191","10.178","10.266","5.436","11.523","141.234","140.618"
"85","DPi","Misha Goikhberg","30","1:40.776","1:40:02.113","Green","Track","9.357","14.388","0.648","15.383","10.823","8.946","0.554","13.710","10.400","10.371","2.175","4.021","122.054","146.456"
"44","GTD","Andy Lally","45","1:30.565","1:40:03.646","Green","Track","3.254","12.381","0.565","13.456","10.241","9.859","0.580","12.981","10.195","10.239","2.386","4.428","139.984","139.890"
"14","GTD","Richard Heistand","47","1:31.405","1:40:15.072","Green","Track","3.223","12.694","0.563","13.611","10.363","9.869","0.580","13.398","10.261","10.062","2.377","4.404","140.481","139.890"
"84","DPi","Stephen Simpson","51","3:09.405","1:40:16.776","Green","Pit","3.004","11.110","0.506","12.639","10.234","10.110","0.670","15.403","11.289","12.114","5.208","97.118","156.306","121.099"
"48","GTD","Ryan Hardwick","44","1:34.809","1:40:22.595","Green","Track","3.424","12.735","0.567","14.719","10.998","9.891","0.582","13.872","10.645","10.460","2.440","4.476","139.490","139.410"
"73","GTD","Zacharie Robichon","49","2:44.827","1:40:28.582","Green","Track","64.164","15.508","0.707","16.535","12.644","11.137","0.822","14.722","10.550","11.176","2.416","4.446","111.868","98.706"
"74","GTD","Gar Robinson V","42","1:32.491","1:40:29.917","Green","Track","3.274","12.551","0.571","13.779","10.672","9.809","0.583","13.476","10.564","10.425","2.370","4.417","138.513","139.170"
"77","DPi","Tristan Nunez","30","1:23.348","1:40:31.320","Green","Track","2.851","10.741","0.491","13.330","9.811","8.657","0.511","12.450","9.534","9.101","2.045","3.826","161.081","158.780"
"8","GTD","Ryan Dalziel","29","3:48.042","1:40:35.323","Green","Pit","3.317","12.442","0.567","13.982","10.476","9.910","0.587","13.661","10.443","10.480","6.246","135.931","139.490","138.222"
"5","DPi","Joao Barbosa","52","1:26.203","1:40:36.853","Green","Track","3.063","11.118","0.508","13.119","9.783","8.778","0.546","13.377","10.194","9.670","2.114","3.933","155.691","148.601"
"12","GTD","Frank Montecalvo","45","1:34.168","1:40:38.790","Green","Track","3.472","12.963","0.576","14.330","10.707","9.907","0.582","13.477","10.465","10.815","2.418","4.456","137.311","139.410"
"96","GTD","Robby Foley","31","1:32.971","1:40:47.336","Green","Track","3.384","12.526","0.559","13.878","10.773","9.753","0.570","13.873","10.366","10.589","2.357","4.343","141.486","142.344"
"6","DPi","Juan Pablo Montoya","41","1:21.092","1:40:54.341","Green","Track","2.829","10.634","0.495","12.196","9.350","8.652","0.515","12.056","9.371","9.002","2.100","3.892","159.780","157.546"
"57","GTD","Christina Nielsen","39","1:30.024","1:40:54.810","Green","Track","3.219","12.531","0.560","13.218","10.225","9.827","0.577","13.036","10.114","9.974","2.360","4.383","141.234","140.618"
"55","DPi","Jonathan Bomarito","43","1:21.725","1:41:02.783","Green","Track","2.848","10.841","0.500","12.492","9.442","8.619","0.514","12.284","9.483","8.873","2.027","3.802","158.182","157.853"
"50","DPi","Victor Franzoni","44","4:07.393","1:41:10.210","Green","Pit","3.036","11.252","0.505","16.079","10.919","10.862","0.665","15.639","11.740","11.643","6.638","148.415","156.616","122.010"
"31","DPi","Pipo Derani","51","6:09.197","1:41:19.677","Green","Track","284.092","14.297","0.538","13.730","9.771","8.791","0.522","12.875","9.541","9.005","2.117","3.918","147.009","155.434"
"85","DPi","Misha Goikhberg","31","1:26.567","1:41:28.680","Green","Track","3.294","11.704","0.516","13.396","10.005","8.808","0.524","13.069","9.804","9.367","2.122","3.958","153.277","154.840"
"44","GTD","Andy Lally","46","1:30.969","1:41:34.615","Green","Track","3.256","12.386","0.561","13.497","10.286","9.995","0.583","13.086","10.119","10.360","2.401","4.439","140.982","139.170"
"10","DPi","Jordan Taylor","47","3:05.721","1:41:37.250","Green","Track","101.474","13.310","0.518","13.615","9.759","8.743","0.518","12.845","9.643","9.317","2.081","3.898","152.685","156.634"
