"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"77","DPi","Oliver Jarvis","31","1:33.961","1:00:25.803","Green","Track","2.865","7.548","10.829","3.429","0.445","12.781","18.941","12.492","16.024","5.544","3.063","184.627"
"25","GTLM","Connor De Phillippi","29","1:43.710","1:00:26.009","Green","Track","3.193","8.488","12.058","3.794","0.506","13.405","21.260","14.201","17.678","5.793","3.334","162.370"
"912","GTLM","Laurens Vanthoor","29","1:43.750","1:00:26.669","Green","Track","3.258","8.507","12.144","3.801","0.509","13.220","21.336","14.090","17.376","6.111","3.398","161.413"
"66","GTLM","Joey Hand","29","1:43.083","1:00:26.819","Green","Track","3.222","8.555","12.175","3.784","0.494","13.329","21.242","13.967","17.435","5.579","3.301","166.314"
"12","GTD","Frank Montecalvo","28","1:46.593","1:00:31.750","Green","Track","3.305","8.853","12.578","3.890","0.499","13.804","22.035","14.473","17.882","5.823","3.451","164.647"
"50","DPi","Rene Binder","29","1:54.418","1:00:32.908","Green","Track","14.545","10.044","12.635","3.646","0.496","13.829","20.761","13.396","16.619","5.366","3.081","165.643"
"8","GTD","Parker Chase","28","1:48.267","1:00:35.407","Green","Track","3.380","8.790","12.768","4.001","0.511","14.108","22.302","14.815","18.107","5.966","3.519","160.781"
"73","GTD","Nicholas Boulle","27","1:48.606","1:00:44.321","Green","Track","3.366","8.975","12.589","3.943","0.507","14.442","22.407","14.709","18.063","6.098","3.507","162.049"
"9","GTD","Zacharie Robichon","28","1:45.839","1:00:50.645","Green","Track","3.341","8.611","12.472","3.925","0.506","13.816","21.791","14.398","17.633","5.883","3.463","162.370"
"48","GTD","Ryan Hardwick","28","1:47.076","1:00:54.442","Green","Track","3.328","8.804","12.519","3.904","0.504","14.240","22.068","14.337","17.956","5.930","3.486","163.014"
"7","DPi","Ricky Taylor","31","1:32.015","1:01:03.723","Green","Track","2.911","7.586","10.964","3.452","0.459","11.729","19.024","12.562","15.473","4.886","2.969","178.996"
"10","DPi","Renger Van Der Zande","31","1:32.022","1:01:06.006","Green","Track","2.916","7.547","11.021","3.469","0.445","11.436","19.004","12.674","15.574","4.938","2.998","184.627"
"38","LMP2","Kyle Masson","30","1:38.408","1:01:15.860","Green","Track","3.045","8.209","11.372","3.577","0.462","12.591","20.291","13.353","16.503","5.809","3.196","177.834"
"5","DPi","Filipe Albuquerque","31","1:34.818","1:01:18.281","Green","Track","2.956","7.972","11.050","3.455","0.453","13.255","19.337","12.760","15.659","4.939","2.982","181.367"
"86","GTD","Trent Hindman","29","1:46.083","1:01:25.188","Green","Track","3.323","9.018","12.555","3.934","0.518","13.580","21.936","14.368","17.607","5.809","3.435","158.608"
"911","GTLM","Patrick Pilet","29","1:43.864","1:01:26.572","Green","Track","3.274","8.590","12.267","3.858","0.498","13.246","21.554","14.065","17.296","5.775","3.441","164.978"
"47","GTD","Don Yount","28","1:50.426","1:01:29.478","Green","Track","3.363","9.445","12.607","3.909","0.503","14.823","23.034","14.889","18.369","6.012","3.472","163.338"
"31","DPi","Eric Curran","29","2:30.854","1:01:31.720","Green","Track","50.018","9.611","12.274","3.617","0.514","14.080","21.402","13.837","16.880","5.480","3.141","159.843"
"96","GTD","Dillon Machavern","29","1:46.959","1:01:35.519","Green","Track","3.251","8.832","12.641","3.836","0.493","14.102","22.200","14.355","17.899","5.950","3.400","166.651"
"63","GTD","Jeff Westphal","29","1:46.783","1:01:36.071","Green","Track","3.300","8.835","12.410","3.872","0.499","14.032","21.856","14.561","17.960","5.983","3.475","164.647"
"52","LMP2","Eric Lux","30","1:41.619","1:01:36.104","Green","Track","3.087","8.264","11.472","3.595","0.466","13.393","20.903","13.630","18.033","5.599","3.177","176.307"
"85","DPi","Misha Goikhberg","31","1:33.953","1:01:36.869","Green","Track","2.922","7.751","11.397","3.529","0.455","11.540","19.194","12.879","15.956","5.234","3.096","180.569"
"57","GTD","Christina Nielsen","29","1:47.239","1:01:37.350","Green","Track","3.298","8.834","12.433","3.892","0.502","13.702","21.881","14.433","18.857","5.949","3.458","163.664"
"14","GTD","Richard Heistand","29","1:46.248","1:01:40.874","Green","Track","3.304","8.963","12.461","3.866","0.497","13.636","21.844","14.563","17.834","5.839","3.441","165.310"
"6","DPi","Dane Cameron","31","1:33.081","1:01:43.812","Green","Track","2.921","7.626","10.922","3.450","0.445","12.388","19.002","13.025","15.445","4.878","2.979","184.627"
"84","DPi","Simon Trummer","31","1:34.379","1:01:47.589","Green","Track","2.937","7.781","11.276","3.530","0.455","11.896","19.904","12.947","15.538","5.048","3.067","180.569"
"540","GTD","Marco Seefried","29","1:46.762","1:01:48.021","Green","Track","3.328","8.761","12.604","3.961","0.511","13.891","21.785","14.599","17.922","5.925","3.475","160.781"
"55","DPi","Harry Tincknell","32","1:31.252","1:01:52.582","Green","Track","2.873","7.518","10.838","3.438","0.443","11.386","18.719","12.494","15.566","5.007","2.970","185.461"
"29","GTD","Daniel Morad","29","1:47.424","1:01:53.254","Green","Track","3.325","8.855","12.602","3.933","0.503","14.075","22.020","14.548","18.123","5.964","3.476","163.338"
"77","DPi","Oliver Jarvis","32","1:32.188","1:01:57.991","Green","Track","2.969","7.754","11.405","3.507","0.451","11.524","18.635","12.384","15.475","5.110","2.974","182.171"
"44","GTD","John Potter","29","1:47.632","1:01:58.686","Green","Track","3.328","8.925","12.650","3.950","0.508","13.989","22.111","14.507","18.276","5.911","3.477","161.730"
"54","DPi","Jonathan Bennett","30","2:25.929","1:02:02.666","Green","Pit","2.935","8.181","10.964","3.439","0.443","12.940","20.018","13.282","17.218","11.162","45.347","185.461"
"3","GTLM","Antonio Garcia","30","1:42.810","1:02:07.180","Green","Track","3.216","8.469","12.079","3.793","0.492","13.344","21.182","14.021","17.222","5.655","3.337","166.990"
"24","GTLM","John Edwards","30","1:42.955","1:02:07.830","Green","Track","3.213","8.521","12.102","3.795","0.488","13.337","21.177","14.070","17.340","5.599","3.313","168.359"
"67","GTLM","Richard Westbrook","30","1:43.060","1:02:08.582","Green","Track","3.322","8.595","12.093","3.810","0.507","13.353","21.131","14.032","17.396","5.520","3.301","162.049"
"25","GTLM","Connor De Phillippi","30","1:43.062","1:02:09.071","Green","Track","3.240","8.593","12.051","3.781","0.487","13.542","21.123","13.999","17.348","5.594","3.304","168.704"
"912","GTLM","Laurens Vanthoor","30","1:42.973","1:02:09.642","Green","Track","3.280","8.819","12.133","3.796","0.500","13.208","21.160","14.049","17.150","5.559","3.319","164.318"
"50","DPi","Rene Binder","30","1:37.089","1:02:09.997","Green","Track","2.973","8.066","12.458","3.671","0.468","12.375","19.709","12.958","16.071","5.269","3.071","175.554"
"66","GTLM","Joey Hand","30","1:43.285","1:02:10.104","Green","Track","3.228","8.976","12.143","3.762","0.489","13.446","21.112","13.985","17.327","5.514","3.303","168.015"
"12","GTD","Frank Montecalvo","29","1:46.881","1:02:18.631","Green","Track","3.317","8.766","12.772","3.918","0.502","13.956","21.935","14.466","17.977","5.827","3.445","163.664"
"8","GTD","Parker Chase","29","1:47.774","1:02:23.181","Green","Track","3.398","8.783","12.835","4.022","0.515","13.995","22.073","14.683","18.067","5.885","3.518","159.532"
