"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"84","DPi","Simon Trummer","5","1:14.807","57:04.361","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.492","0.000","0.000","13.900","0.000","0.000","166.297"
"54","DPi","Jonathan Bennett","4","1:24.859","57:07.694","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","15.634","5.925","4.489","0.000"
"50","DPi","Will Owen","5","1:13.394","57:08.530","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","13.404","5.227","4.066","0.000"
"85","DPi","Misha Goikhberg","5","1:13.806","57:12.917","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","13.285","5.177","4.159","0.000"
"31","DPi","Pipo Derani","6","1:15.377","57:48.170","Green","Track","3.708","0.000","0.000","7.871","0.000","1.796","0.483","7.128","14.006","14.078","5.372","4.100","169.396"
"38","LMP2","Kyle Masson","5","1:19.849","57:55.606","Green","Track","3.973","6.816","4.062","8.090","7.068","1.840","0.495","6.835","15.001","15.455","5.832","4.382","165.289"
"52","LMP2","Eric Lux","5","1:25.287","57:56.143","Green","Track","4.222","0.000","0.000","9.507","0.000","1.864","0.500","7.229","16.318","15.459","6.153","4.869","163.636"
"77","DPi","Oliver Jarvis","5","1:12.073","57:56.889","Green","Track","3.617","5.979","3.773","7.836","6.743","1.778","0.481","0.000","0.000","13.081","5.082","4.054","170.100"
"7","DPi","Helio Castroneves","6","1:19.405","58:00.939","Green","Track","3.672","5.936","3.760","7.863","6.802","1.774","0.479","0.000","0.000","17.462","5.613","4.215","170.810"
"55","DPi","Ryan Hunter-Reay","5","1:12.505","58:02.160","Green","Track","3.677","5.985","3.828","7.877","6.853","1.786","0.481","0.000","0.000","12.933","5.206","4.080","170.100"
"5","DPi","Joao Barbosa","6","1:12.758","58:07.500","Green","Track","3.771","6.173","3.851","7.763","6.941","1.813","0.487","0.000","0.000","13.138","5.175","4.070","168.004"
"10","DPi","Renger Van Der Zande","6","1:13.043","58:12.240","Green","Track","3.752","6.136","3.904","7.835","6.882","1.810","0.489","0.000","0.000","13.238","0.000","0.000","167.317"
"6","DPi","Dane Cameron","6","1:11.655","58:13.246","Green","Track","3.646","5.915","3.749","7.860","6.807","1.772","0.476","0.000","0.000","12.804","4.997","4.176","171.887"
"84","DPi","Simon Trummer","6","1:13.105","58:17.466","Green","Track","3.727","6.080","3.907","7.842","6.968","1.833","0.493","0.000","0.000","13.247","5.082","4.100","165.960"
"50","DPi","Will Owen","6","1:14.179","58:22.709","Green","Track","3.747","0.000","0.000","8.234","7.068","1.830","0.491","0.000","0.000","13.118","5.257","4.038","166.636"
"85","DPi","Misha Goikhberg","6","1:15.294","58:28.211","Green","Track","3.752","0.000","0.000","7.870","7.051","0.000","0.000","0.000","0.000","14.702","5.384","4.171","0.000"
"54","DPi","Jonathan Bennett","5","1:21.386","58:29.080","Green","Track","3.971","0.000","0.000","9.084","7.029","0.000","0.000","0.000","0.000","15.006","5.961","4.462","0.000"
"31","DPi","Pipo Derani","7","1:11.721","58:59.891","Green","Track","0.000","0.000","3.806","0.000","0.000","1.794","0.483","6.172","13.075","13.004","5.093","4.073","169.396"
"38","LMP2","Kyle Masson","6","1:16.002","59:11.608","Green","Track","3.952","6.524","4.025","8.097","7.048","1.839","0.494","6.678","14.120","13.699","0.000","0.000","165.624"
"77","DPi","Oliver Jarvis","6","1:15.127","59:12.016","Green","Track","3.831","6.687","4.012","8.349","6.786","1.780","0.479","6.518","13.683","13.584","0.000","0.000","170.810"
"7","DPi","Helio Castroneves","7","1:15.957","59:16.896","Green","Track","3.697","5.896","3.748","7.788","6.761","1.764","0.473","6.561","13.461","16.054","5.570","4.184","172.977"
"55","DPi","Ryan Hunter-Reay","6","1:17.187","59:19.347","Green","Track","3.658","5.964","3.839","8.356","7.066","1.796","0.483","6.323","13.955","15.588","6.007","4.152","169.396"
"52","LMP2","Eric Lux","6","1:24.201","59:20.344","Green","Track","4.198","7.119","4.444","9.171","7.312","1.855","0.496","7.423","15.207","16.111","6.347","4.518","164.956"
"10","DPi","Renger Van Der Zande","7","1:12.525","59:24.765","Green","Track","3.728","6.027","3.856","7.705","6.900","1.812","0.489","6.215","13.222","13.189","5.059","4.323","167.317"
"6","DPi","Dane Cameron","7","1:15.466","59:28.712","Green","Track","3.658","5.907","3.739","7.830","6.830","1.897","0.532","7.525","15.184","13.189","0.000","0.000","153.794"
"84","DPi","Simon Trummer","7","1:12.770","59:30.236","Green","Track","3.747","6.009","3.890","7.715","6.964","1.833","0.493","6.176","13.423","0.000","0.000","4.134","165.960"
"50","DPi","Will Owen","7","1:13.609","59:36.318","Green","Track","3.729","6.625","3.996","7.802","6.898","1.812","0.000","6.164","13.524","0.000","0.000","4.113","0.000"
"85","DPi","Misha Goikhberg","7","1:14.162","59:42.373","Green","Track","3.765","6.029","3.881","7.876","7.007","1.838","0.494","6.390","0.000","0.000","0.000","0.000","165.624"
"5","DPi","Joao Barbosa","7","1:37.500","59:45.000","Green","Track","3.692","6.077","3.838","8.129","17.641","2.600","0.000","8.918","17.387","0.000","0.000","0.000","0.000"
