"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"55","DPi","Harry Tincknell","6","2:14.228","26:05.666","Green","Track","22.731","9.793","23.927","14.408","24.470","8.101","16.983","0.491","9.591","1.297","2.436","172.653","133.174"
"912","GTLM","Mathieu Jaminet","12","2:09.299","26:05.716","Green","Pit","5.759","5.437","24.521","15.188","26.449","9.033","18.425","0.529","10.979","2.830","10.149","160.251","61.034"
"25","GTLM","Colton Herta","11","1:59.484","26:08.101","Green","Track","5.698","5.425","24.178","15.457","26.232","9.000","18.155","0.536","10.634","1.449","2.720","158.158","119.204"
"8","GTD","Parker Chase","11","2:04.778","26:17.435","Green","Track","5.892","5.989","25.609","15.608","27.381","9.189","19.201","0.548","11.002","1.529","2.830","154.695","112.967"
"44","GTD","Spencer Pumpelly","11","2:02.256","26:18.653","Green","Track","5.801","5.653","25.029","15.304","26.902","9.091","18.872","0.545","10.770","1.498","2.791","155.546","115.305"
"7","DPi","Alexander Rossi","9","9:12.729","26:20.840","Green","Track","442.933","9.215","23.348","14.184","24.134","7.979","16.658","0.488","10.009","1.314","2.467","173.715","131.452"
"54","DPi","Jonathan Bennett","13","2:02.625","26:22.299","Green","Pit","5.221","5.274","22.994","14.447","24.946","8.291","16.869","0.500","10.949","3.003","10.131","169.545","57.518"
"19","GTD","Alex Riberas","11","2:03.614","26:22.582","Green","Track","5.996","6.149","25.117","15.400","27.270","9.147","18.677","0.544","11.006","1.505","2.803","155.832","114.769"
"911","GTLM","Patrick Pilet","13","1:58.859","26:27.282","Green","Track","5.681","5.429","24.241","15.114","26.151","8.876","18.207","0.530","10.493","1.439","2.698","159.949","120.033"
"73","GTD","Patrick Long","11","2:01.553","26:49.567","Green","Track","5.864","5.734","24.613","15.137","26.783","9.087","18.650","0.548","10.823","1.509","2.805","154.695","114.465"
"4","GTLM","Oliver Gavin","12","1:58.164","26:49.714","Green","Track","5.662","5.465","24.176","14.925","26.062","8.773","18.053","0.527","10.417","1.429","2.675","160.859","120.873"
"77","DPi","Timo Bernhard","13","1:48.152","27:01.470","Green","Track","5.127","4.867","22.641","14.037","23.898","7.753","16.255","0.486","9.382","1.287","2.419","174.429","134.209"
"14","GTD","Philipp Frommenwiler","11","2:13.362","27:06.943","Green","Pit","5.829","5.791","25.187","15.367","27.142","9.221","18.933","0.541","11.548","3.640","10.163","156.696","47.453"
"38","LMP2","Andrew Evans","12","2:03.664","27:19.328","Green","Track","5.599","6.034","24.233","15.282","28.915","9.871","18.313","0.501","10.963","1.383","2.570","169.207","124.893"
"96","GTD","Dillon Machavern","11","2:10.533","27:21.393","Green","Track","6.046","6.070","26.371","16.832","29.079","9.913","19.613","0.560","11.637","1.547","2.865","151.380","111.653"
"50","DPi","Will Owen","11","1:53.678","27:29.214","Green","Track","5.310","5.098","22.822","14.722","24.712","8.777","17.299","0.497","10.470","1.398","2.573","170.569","123.553"
"11","GTD","Mirko Bortolotti","11","2:01.024","27:30.666","Green","Track","5.828","5.653","24.629","15.190","26.570","9.066","18.537","0.545","10.778","1.467","2.761","155.546","117.742"
"86","GTD","Trent Hindman","12","2:03.011","27:34.763","Green","Track","5.885","5.761","25.013","15.468","27.291","9.177","18.773","0.545","10.803","1.500","2.795","155.546","115.152"
"10","DPi","Matthieu Vaxiviere","13","1:50.584","27:45.641","Green","Track","5.199","4.661","22.337","14.600","24.779","8.080","16.662","0.491","9.969","1.326","2.480","172.653","130.262"
