"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"40","LMP3","Keith Grant","6","2:02.880","12:57.978","Green","Track","6.008","5.553","25.005","15.776","26.950","9.151","18.777","0.550","10.735","1.524","2.851","154.132","113.338"
"7","LMP3","Blake Mount","6","2:02.781","13:07.118","Green","Track","6.146","6.077","25.429","15.511","26.677","9.059","18.559","0.547","10.500","1.483","2.793","154.978","116.472"
"60","LMP3","Bruce Hamilton","5","2:08.251","13:12.353","Green","Track","5.973","6.473","26.906","15.507","28.251","9.329","19.259","0.544","11.586","1.559","2.864","155.832","110.794"
"55","LMP3","Timo Reger","4","2:25.775","13:14.207","Green","Track","22.473","9.783","25.842","15.708","28.013","9.640","19.018","0.539","10.545","1.464","2.750","157.278","117.983"
"19","LMP3","Bradley Baker","6","2:05.386","13:15.831","Green","Track","6.022","5.642","25.962","15.562","27.433","9.389","19.089","0.548","11.421","1.506","2.812","154.695","114.693"
"86","LMP3","Paul LaHaye","6","2:08.637","13:15.727","Green","Track","6.268","6.361","26.152","15.901","28.170","9.499","19.361","0.580","11.914","1.556","2.875","146.160","111.007"
"26","LMP3","James McGuire","6","2:02.345","13:24.609","Green","Track","5.851","5.183","25.308","15.552","26.927","9.636","18.653","0.547","10.433","1.472","2.783","154.978","117.342"
"33","LMP3","Lance Willsey","6","2:06.858","13:25.696","Green","Track","6.053","5.644","26.840","16.154","27.341","9.644","18.839","0.560","11.357","1.551","2.875","151.380","111.365"
"75","LMP3","Cameron Cassels","6","2:08.875","13:26.543","Green","Track","6.008","5.967","27.190","16.216","27.553","9.551","20.022","0.603","11.416","1.522","2.827","140.585","113.487"
"43","LMP3","Stevan McAleer","5","2:01.934","13:26.895","Green","Track","0.000","0.000","24.660","0.000","0.000","9.590","18.667","0.534","10.883","1.471","2.744","158.750","117.422"
"54","LMP3","David Murry","4","4:52.362","13:27.838","Green","Track","162.197","10.743","28.205","17.438","28.467","9.721","18.967","0.616","11.679","1.514","2.815","137.618","114.087"
"74","LMP3","Wyatt Schwab","5","2:01.456","13:27.890","Green","Track","5.864","5.868","25.157","15.174","26.688","9.088","18.176","0.533","10.674","1.476","2.758","159.048","117.024"
"9","LMP3","Gerry Kraut","6","1:59.679","13:30.608","Green","Track","0.000","0.000","24.662","15.097","26.244","8.799","18.166","0.531","10.566","1.464","2.738","159.647","117.983"
"4","LMP3","Neil Alberico","6","2:00.465","13:32.669","Green","Track","5.864","5.384","24.681","15.431","26.633","9.023","18.335","0.549","10.301","1.480","2.784","154.413","116.708"
"25","LMP3","Ross Chouest","6","2:05.088","13:40.852","Green","Track","6.026","5.987","25.616","15.875","27.443","9.324","18.817","0.552","11.073","1.531","2.844","153.574","112.820"
"23","LMP3","Anthony Simone","5","2:26.271","13:45.395","Green","Track","22.844","11.347","25.788","15.437","26.951","0.000","0.000","0.537","10.633","1.485","2.772","157.864","116.315"
"10","LMP3","Joe Robillard","5","2:04.056","13:54.412","Green","Track","5.977","5.882","25.572","15.478","27.075","9.109","18.612","0.536","11.523","1.501","2.791","158.158","115.075"
"70","LMP3","Joel Janco","6","2:03.505","14:08.416","Green","Track","5.964","5.679","25.479","15.491","27.409","9.317","18.601","0.552","10.676","1.510","2.827","153.574","114.389"
"11","LMP3","Nico Rondet","6","2:00.428","14:10.677","Green","Track","5.974","5.630","24.663","15.279","26.343","8.890","18.202","0.546","10.632","1.480","2.789","155.261","116.708"
"47","LMP3","Austin McCusker","5","1:59.803","14:20.226","Green","Track","5.793","5.348","24.876","15.401","26.382","8.865","18.091","0.536","10.322","1.451","2.738","158.158","119.040"
"2","LMP3","Tim George","6","2:08.010","14:25.339","Green","Track","6.127","6.349","26.490","16.461","28.261","9.206","19.048","0.552","11.085","1.552","2.879","153.574","111.293"
"64","LMP3","Alex Barron","7","2:01.472","14:36.424","Green","Track","5.951","5.699","24.746","15.252","26.652","8.959","18.504","0.552","10.869","1.484","2.804","153.574","116.393"
"12","LMP3","Tim Moser","6","2:04.146","14:56.138","Green","Track","6.068","5.872","25.155","15.464","27.463","9.257","18.827","0.551","11.172","1.500","2.817","153.852","115.152"
"52","LMP3","Mike Guasch","7","2:04.201","14:56.724","Green","Track","6.100","5.770","25.270","15.671","27.262","9.121","18.949","0.550","11.091","1.547","2.870","154.132","111.653"
"7","LMP3","Blake Mount","7","2:01.421","15:08.539","Green","Track","5.955","5.580","25.100","15.489","26.445","8.982","18.485","0.546","10.566","1.484","2.789","155.261","116.393"
"40","LMP3","Keith Grant","7","2:15.492","15:13.470","Green","Pit","6.002","5.653","25.142","15.418","26.903","9.062","18.621","0.550","13.726","4.094","10.321","154.132","42.190"
"55","LMP3","Timo Reger","5","2:02.016","15:16.223","Green","Track","5.792","5.433","25.729","16.174","26.757","8.910","18.012","0.536","10.465","1.461","2.747","158.158","118.225"
"60","LMP3","Bruce Hamilton","6","2:09.011","15:21.364","Green","Track","6.071","6.267","26.294","16.159","29.068","9.487","19.097","0.542","11.576","1.574","2.876","156.407","109.738"
"19","LMP3","Bradley Baker","7","2:05.684","15:21.515","Green","Track","6.041","5.835","25.413","15.521","27.948","9.404","18.984","0.558","11.573","1.544","2.863","151.922","111.870"
"26","LMP3","Matthew Bell","7","1:58.998","15:23.607","Green","Track","5.866","5.271","24.463","15.128","26.065","8.813","18.272","0.546","10.363","1.457","2.754","155.261","118.550"
"86","LMP3","Paul LaHaye","7","2:09.166","15:24.893","Green","Track","6.404","6.384","26.356","16.043","28.333","9.338","19.140","0.558","12.099","1.600","2.911","151.922","107.955"
