"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"50","DPi","Kyle Kaiser","4","1:24.524","6:59.773","Green","Track","4.408","7.539","4.287","10.010","7.360","1.845","0.496","7.909","15.373","14.881","5.971","4.445","164.956"
"44","GTD","Andy Lally","3","1:59.939","7:00.084","Green","Pit","14.056","11.489","5.490","11.033","8.745","2.108","0.568","9.206","18.699","19.618","7.814","11.113","144.046"
"74","GTD","Lawson Aschenbach","3","1:30.626","7:04.133","Green","Track","4.603","8.128","4.635","10.211","8.290","2.077","0.559","7.967","16.642","16.584","6.147","4.783","146.365"
"12","GTD","Frank Montecalvo","4","1:41.237","7:04.736","Green","Pit","4.484","7.905","4.603","10.226","8.351","2.213","0.616","8.710","17.617","17.189","8.037","11.286","132.822"
"57","GTD","Christina Nielsen","4","1:31.026","7:05.023","Green","Track","4.540","8.120","4.719","10.883","8.219","2.031","0.545","7.942","16.353","16.415","6.403","4.856","150.125"
"5","DPi","Filipe Albuquerque","3","2:26.460","7:05.328","Green","Pit","40.308","13.675","6.343","12.338","8.306","2.187","0.683","9.547","17.115","16.963","8.017","10.978","119.792"
"31","DPi","Felipe Nasr","4","1:24.821","7:08.912","Green","Track","4.157","7.770","4.406","9.283","7.484","1.858","0.497","7.636","16.212","15.117","5.675","4.726","164.624"
"77","DPi","Tristan Nunez","2","3:22.775","7:09.491","Green","Pit","14.383","14.479","7.578","13.155","9.240","2.456","0.781","10.327","21.371","20.689","8.630","79.686","104.761"
"48","GTD","Ryan Hardwick","3","1:37.516","7:20.557","Green","Track","4.683","8.779","5.482","11.076","8.343","2.059","0.550","8.347","18.057","18.181","6.800","5.159","148.760"
"63","GTD","Toni Vilander","4","1:32.063","7:21.876","Green","Track","4.485","8.065","4.563","9.713","8.180","2.041","0.549","7.868","18.219","16.967","6.447","4.966","149.031"
"52","LMP2","Matthew McMurry","3","2:34.939","7:23.611","Green","Track","54.509","12.849","5.864","12.619","8.768","1.994","0.538","8.862","18.483","18.256","6.861","5.336","152.078"
"76","GTD","Paul Holton","2","1:49.489","7:27.988","Green","Track","14.294","11.278","5.708","11.369","9.143","2.146","0.576","8.701","17.295","17.637","6.502","4.840","142.045"
"912","GTLM","Earl Bamber","4","1:36.753","7:33.222","Green","Pit","4.594","7.958","4.867","9.432","7.971","2.001","0.555","8.311","17.195","16.650","6.358","10.861","147.420"
"85","DPi","Misha Goikhberg","5","1:30.014","7:43.501","Green","Pit","3.930","6.654","4.114","9.305","7.949","1.905","0.512","7.341","15.353","15.193","6.665","11.093","159.801"
"9","GTD","Zacharie Robichon","3","1:52.037","7:44.219","Green","Track","14.128","13.041","6.066","11.289","8.496","2.164","0.644","9.435","18.060","17.323","6.497","4.894","127.047"
"7","DPi","Ricky Taylor","3","2:17.976","7:53.148","Green","Track","38.428","11.462","5.926","11.824","8.138","2.125","0.698","10.100","19.374","17.803","6.510","5.588","117.218"
"33","GTD","Jeroen Bleekemolen","3","2:20.000","7:53.376","Green","Track","46.683","12.295","5.261","10.609","8.468","2.096","0.559","8.309","17.412","16.851","6.517","4.940","146.365"
"38","LMP2","Cameron Cassels","4","1:31.955","7:54.355","Green","Track","4.492","7.736","4.686","9.886","7.913","2.038","0.607","8.714","17.305","16.813","6.605","5.160","134.791"
"6","DPi","Dane Cameron","4","1:35.778","7:54.820","Green","Pit","4.267","7.331","4.816","10.295","7.914","1.851","0.507","8.370","16.444","16.076","6.890","11.017","161.377"
"96","GTD","Bill Auberlen","5","1:25.715","7:57.790","Green","Track","4.247","7.596","4.397","9.421","7.846","1.979","0.530","7.357","15.902","15.721","6.021","4.698","154.374"
"73","GTD","Patrick Long","3","1:49.767","8:05.049","Green","Track","14.122","12.107","5.193","10.773","8.572","2.100","0.583","8.871","17.832","18.071","6.546","4.997","140.340"
"8","GTD","Ryan Dalziel","3","3:00.177","8:06.202","Green","Pit","16.775","13.408","6.617","13.935","11.749","3.384","0.880","12.244","21.735","22.033","9.350","48.067","92.975"
"10","DPi","Jordan Taylor","3","3:36.823","8:09.204","Green","Track","123.307","10.921","6.047","10.935","7.807","1.948","0.637","9.209","17.568","17.170","6.500","4.774","128.443"
"86","GTD","Mario Farnbacher","5","1:25.717","8:11.899","Green","Track","4.405","7.687","4.475","9.059","7.952","2.017","0.543","7.579","15.765","15.666","5.810","4.759","150.678"
"3","GTLM","Antonio Garcia","5","1:27.634","8:18.558","Green","Track","4.375","7.542","4.558","9.271","7.736","1.977","0.550","8.690","16.190","15.907","6.004","4.834","148.760"
"24","GTLM","John Edwards","5","1:28.322","8:23.132","Green","Track","4.366","7.742","4.584","9.293","7.806","1.960","0.527","7.833","16.871","16.644","5.979","4.717","155.253"
"67","GTLM","Richard Westbrook","4","1:30.759","8:23.929","Green","Track","4.446","7.920","4.630","9.414","7.958","1.994","0.536","7.949","17.562","17.406","6.149","4.795","152.646"
"4","GTLM","Oliver Gavin","5","1:29.848","8:24.463","Green","Track","4.384","7.557","4.624","9.492","7.916","2.003","0.535","8.347","16.752","17.099","6.286","4.853","152.931"
"50","DPi","Kyle Kaiser","5","1:24.916","8:24.689","Green","Track","4.071","6.914","4.264","9.251","7.311","1.831","0.491","7.410","15.826","16.638","6.330","4.579","166.636"
"14","GTD","Richard Heistand","5","1:38.428","8:29.636","Green","Pit","4.461","7.637","4.586","9.534","8.028","2.032","0.545","8.697","18.560","16.730","6.750","10.868","150.125"
"74","GTD","Lawson Aschenbach","4","1:27.471","8:31.604","Green","Track","4.421","7.783","4.505","9.118","8.080","2.061","0.554","7.352","16.029","16.751","6.008","4.809","147.686"
"31","DPi","Felipe Nasr","5","1:22.921","8:31.833","Green","Track","4.066","6.851","4.181","8.858","7.278","1.833","0.492","7.301","16.260","15.279","6.034","4.488","166.297"
"66","GTLM","Dirk Mueller","3","2:24.562","8:33.662","Green","Pit","37.394","11.626","5.786","11.319","8.598","2.071","0.601","9.879","18.554","20.072","7.843","10.819","136.137"
"57","GTD","Christina Nielsen","5","1:28.743","8:33.766","Green","Track","4.379","7.700","4.426","9.347","8.080","2.017","0.542","7.759","16.313","16.453","6.734","4.993","150.956"
"84","DPi","Simon Trummer","3","3:17.297","8:40.952","Green","Pit","67.958","15.665","8.323","14.483","10.282","2.794","0.850","13.085","22.834","21.375","8.620","11.028","96.257"
"25","GTLM","Tom Blomqvist","4","3:10.227","8:45.329","Green","Pit","4.943","8.525","4.741","9.887","8.085","1.998","0.546","8.164","16.721","16.537","7.259","102.821","149.850"
"55","DPi","Jonathan Bomarito","3","3:35.241","8:50.761","Green","Pit","14.404","13.250","6.538","13.515","9.948","2.457","0.792","10.366","20.723","19.645","8.265","95.338","103.306"
