"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"65","GS","Justin Piscitell","86","1:57.286","3:16:38.576","Green","Track","3.643","9.853","13.845","4.215","0.539","15.544","23.870","15.905","19.583","6.497","3.792","152.429"
"39","GS","Jeff Westphal","86","2:08.530","3:16:38.546","Green","Pit","3.606","9.715","13.824","4.275","0.544","15.061","23.832","15.843","19.354","7.097","15.379","151.028"
"7","GS","Trent Hindman","86","2:09.860","3:16:41.116","Green","Pit","3.603","9.681","13.849","4.208","0.538","15.328","23.997","15.955","19.448","10.801","12.452","152.712"
"57","GS","Christian Hohenadel","86","2:07.787","3:16:46.805","Green","Pit","3.563","9.448","13.592","4.188","0.537","15.063","23.427","15.637","19.287","10.950","12.095","152.996"
"12","TCR","Russell McDonough","85","2:00.735","3:17:00.214","Green","Track","3.767","9.949","14.318","4.414","0.564","16.112","24.629","16.417","19.943","6.667","3.955","145.672"
"37","TCR","Tom O'Gorman","84","2:01.893","3:17:19.968","Green","Track","3.861","9.889","14.546","4.700","0.635","15.780","25.107","16.893","19.972","6.570","3.940","129.384"
"60","GS","Kyle Marcelli","86","3:01.827","3:17:22.839","Green","Pit","3.586","9.630","13.752","4.219","0.540","15.268","23.833","16.201","19.649","11.191","63.958","152.146"
"40","GS","Jade Buford","86","1:56.921","3:17:25.619","Green","Track","3.623","9.651","13.787","4.250","0.544","15.208","24.237","15.883","19.437","6.508","3.793","151.028"
"98","TCR","Mark Wilkins","86","2:02.024","3:17:33.878","Green","Track","3.811","10.037","14.469","4.494","0.577","16.332","24.872","16.484","20.270","6.733","3.945","142.390"
"97","GS","Brandon Kidd","86","1:58.886","3:17:35.962","Green","Track","3.673","10.013","13.876","4.227","0.542","15.976","24.219","15.993","20.000","6.623","3.744","151.585"
"73","TCR","Mat Pombo","86","2:00.473","3:17:40.441","Green","Track","3.786","9.953","14.467","4.497","0.577","15.610","24.864","16.420","19.906","6.493","3.900","142.390"
"2","GS","Tyler Cooke","86","2:56.831","3:17:45.933","Green","Pit","3.646","9.835","14.015","4.327","0.554","15.735","24.198","16.014","19.873","11.501","57.133","148.302"
"61","TCR","Jon Morley","85","2:00.921","3:17:46.670","Green","Track","3.873","9.852","14.449","4.475","0.599","15.360","25.159","16.585","20.107","6.523","3.939","137.160"
"88","GS","Greg Liefooghe","85","1:56.517","3:18:01.409","Green","Track","3.537","9.506","13.585","4.176","0.535","15.216","24.031","15.965","19.615","6.596","3.755","153.568"
"96","GS","Bill Auberlen","87","1:55.457","3:18:04.096","Green","Track","3.539","9.652","13.505","4.120","0.527","15.152","23.745","15.616","19.407","6.469","3.725","155.900"
"71","GS","Robin Liddell","87","1:55.883","3:18:11.111","Green","Track","3.600","9.615","13.831","4.262","0.546","14.954","23.791","15.801","19.288","6.418","3.777","150.475"
"4","GS","Guy Cosmo","87","2:07.839","3:18:17.244","Green","Pit","3.583","9.478","13.656","4.192","0.538","15.117","23.635","15.763","19.275","10.515","12.087","152.712"
"11","GS","Spencer Pumpelly","86","1:57.393","3:18:20.985","Green","Track","3.569","9.564","13.776","4.177","0.537","15.724","24.096","15.943","19.553","6.633","3.821","152.996"
"69","GS","Corey Fergus","87","1:56.797","3:18:22.456","Green","Track","3.542","9.753","13.495","4.112","0.528","15.465","23.937","15.849","19.710","6.663","3.743","155.604"
"5","TCR","Tim Lewis Jr","85","2:00.381","3:18:22.574","Green","Track","3.768","9.776","14.177","4.452","0.571","15.625","25.038","16.217","19.992","6.821","3.944","143.886"
"56","GS","Eric Foss","87","1:55.297","3:18:25.518","Green","Track","3.587","9.581","13.652","4.204","0.539","14.901","23.678","15.825","19.235","6.354","3.741","152.429"
"65","GS","Justin Piscitell","87","1:59.182","3:18:37.758","Green","Track","3.661","9.738","13.736","4.203","0.540","15.531","24.296","16.022","19.951","7.500","4.004","152.146"
"75","GS","Paul Holton","83","2:40.414","3:18:43.781","Green","Track","44.048","10.055","13.927","4.167","0.536","15.611","24.477","16.302","20.258","7.109","3.924","153.282"
"35","GS","Dylan Murry","87","2:47.739","3:18:44.117","Green","Pit","3.549","9.402","13.534","4.180","0.531","14.965","23.404","15.666","19.285","7.530","55.693","154.725"
"82","GS","Devin Jones","87","2:56.638","3:18:51.225","Green","Pit","3.546","9.590","13.405","4.135","0.531","15.017","23.567","15.714","19.602","11.543","59.988","154.725"
"12","TCR","Russell McDonough","86","2:02.754","3:19:02.968","Green","Track","3.774","9.863","14.235","4.382","0.559","16.287","24.718","16.598","20.469","7.732","4.137","146.975"
"21","TCR","Mason Filippi","73","3:17.151","3:19:06.780","Green","Track","71.202","10.921","15.784","4.695","0.696","18.136","25.649","16.849","21.146","7.888","4.185","118.045"
"37","TCR","Tom O'Gorman","85","2:05.911","3:19:25.879","Green","Track","4.174","9.985","14.540","4.763","0.642","15.797","25.160","17.253","21.725","7.706","4.166","127.974"
"40","GS","Jade Buford","87","2:00.965","3:19:26.584","Green","Track","3.627","9.724","13.790","4.235","0.543","15.170","24.008","16.368","21.710","7.800","3.990","151.306"
