"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"14","GTD","Richard Heistand","4","1:46.183","7:46.926","Green","Track","11.042","14.002","9.577","19.751","7.704","6.360","5.889","9.655","7.063","6.334","5.287","0.478","3.041","171.168"
"63","GTD","Jeff Westphal","4","1:46.564","7:53.057","Green","Track","11.125","14.099","9.621","19.859","7.758","6.322","5.875","9.797","7.062","6.267","5.264","0.475","3.040","172.249"
"73","GTD","Patrick Lindsey","4","1:46.445","7:56.101","Green","Track","11.168","13.948","9.607","19.741","7.724","6.373","5.913","9.810","7.044","6.317","5.288","0.475","3.037","172.249"
"57","GTD","Ana Figueiredo","4","1:45.775","7:58.986","Green","Track","11.063","13.955","9.553","19.752","7.688","6.311","5.852","9.698","6.985","6.245","5.208","0.470","2.995","174.081"
"540","GTD","Marco Seefried","2","1:46.351","8:04.834","Green","Track","11.335","13.850","9.566","19.627","7.736","6.422","5.982","9.429","7.077","6.370","5.359","0.485","3.113","168.697"
"46","GTD","Emanuele Busnelli","4","1:47.434","8:09.180","Green","Track","11.283","14.121","9.747","20.025","7.796","6.373","5.888","9.993","7.113","6.315","5.262","0.476","3.042","171.887"
"8","GTD","Ezequiel Perez Companc","3","1:46.913","8:18.584","Green","Track","11.041","13.918","9.743","19.797","7.898","6.450","5.942","9.616","7.185","6.412","5.350","0.481","3.080","170.100"
"86","GTD","Trent Hindman","3","1:45.776","8:21.805","Green","Track","11.096","13.928","9.572","19.610","7.743","6.325","5.863","9.642","7.007","6.256","5.241","0.474","3.019","172.612"
"99","GTD","Juergen Haering","4","1:50.695","8:35.536","Green","Track","11.937","14.299","9.995","20.759","8.070","6.420","5.976","10.761","7.219","6.349","5.326","0.482","3.102","169.747"
"44","GTD","John Potter","4","1:47.562","8:37.819","Green","Track","11.314","14.050","9.852","19.780","7.896","6.456","5.956","9.853","7.173","6.379","5.313","0.480","3.060","170.455"
"71","GTD","Dominik Baumann","4","1:45.406","8:41.398","Green","Track","10.899","13.771","9.542","19.723","7.692","6.324","5.866","9.542","6.979","6.280","5.272","0.475","3.041","172.249"
"12","GTD","Frank Montecalvo","4","1:46.421","8:55.657","Green","Track","10.955","14.074","9.650","20.026","7.758","6.356","5.840","9.687","7.033","6.336","5.231","0.472","3.003","173.344"
"88","GTD","Ian James","4","1:47.230","9:01.175","Green","Track","11.149","13.964","9.778","19.695","7.865","6.441","5.932","9.863","7.196","6.445","5.350","0.482","3.070","169.747"
"11","GTD","Rolf Ineichen","3","1:47.548","9:09.064","Green","Track","11.411","14.037","9.740","20.029","7.867","6.440","5.895","9.749","7.164","6.370","5.303","0.478","3.065","171.168"
"47","GTD","Don Yount","2","1:50.245","9:12.038","Green","Track","11.943","14.504","9.918","20.498","7.998","6.517","6.040","10.154","7.227","6.457","5.386","0.487","3.116","168.004"
"13","GTD","Victor Franzoni","4","1:46.186","9:12.801","Green","Track","11.254","13.823","9.600","19.751","7.786","6.368","5.889","9.578","7.052","6.286","5.272","0.477","3.050","171.527"
"9","GTD","Zacharie Robichon","5","1:46.505","9:14.605","Green","Track","10.941","13.969","9.655","19.904","7.793","6.363","5.939","9.693","7.072","6.331","5.304","0.478","3.063","171.168"
"29","GTD","Daniel Morad","4","1:46.208","9:27.471","Green","Track","10.974","13.955","9.658","19.720","7.855","6.423","5.895","9.438","7.095","6.368","5.305","0.478","3.044","171.168"
"14","GTD","Richard Heistand","5","1:46.224","9:33.150","Green","Track","11.018","14.054","9.556","19.966","7.734","6.344","5.864","9.556","7.010","6.322","5.284","0.476","3.040","171.887"
"19","GTD","Andrew Davis","5","1:51.850","9:37.255","Green","Track","11.125","14.065","9.777","22.714","8.610","6.903","6.315","10.010","7.162","6.367","5.288","0.476","3.038","171.887"
"63","GTD","Jeff Westphal","5","1:46.194","9:39.251","Green","Track","11.188","14.002","9.608","19.828","7.743","6.307","5.844","9.649","7.032","6.250","5.246","0.475","3.022","172.249"
"57","GTD","Ana Figueiredo","5","1:45.537","9:44.523","Green","Track","10.955","13.886","9.562","19.773","7.733","6.307","5.827","9.593","6.973","6.249","5.213","0.471","2.995","173.712"
"73","GTD","Patrick Lindsey","5","1:53.662","9:49.763","Green","Track","11.488","15.020","10.305","22.101","8.328","6.760","7.128","10.241","7.102","6.370","5.286","0.477","3.056","171.527"
"540","GTD","Marco Seefried","3","1:45.902","9:50.736","Green","Track","11.022","13.691","9.568","19.787","7.711","6.394","5.939","9.411","7.093","6.361","5.348","0.483","3.094","169.396"
"46","GTD","Emanuele Busnelli","5","1:46.980","9:56.160","Green","Track","11.215","14.124","9.662","19.906","7.828","6.362","5.858","9.777","7.135","6.331","5.262","0.475","3.045","172.249"
"8","GTD","Ezequiel Perez Companc","4","1:46.312","10:04.896","Green","Track","11.007","13.812","9.646","19.597","7.874","6.463","5.930","9.504","7.157","6.412","5.349","0.482","3.079","169.747"
"86","GTD","Trent Hindman","4","1:45.657","10:07.462","Green","Track","11.000","13.872","9.584","19.671","7.732","6.341","5.854","9.577","7.016","6.279","5.238","0.474","3.019","172.612"
"44","GTD","John Potter","5","1:47.518","10:25.337","Green","Track","11.235","13.872","9.818","19.907","7.911","6.474","5.956","9.884","7.160","6.396","5.335","0.482","3.088","169.747"
"99","GTD","Juergen Haering","5","1:50.642","10:26.178","Green","Track","11.869","14.661","10.004","20.927","8.018","6.408","5.913","10.421","7.172","6.336","5.298","0.480","3.135","170.455"
"12","GTD","Frank Montecalvo","5","1:46.345","10:42.002","Green","Track","10.967","13.961","9.584","19.662","7.850","6.416","5.837","9.894","7.086","6.369","5.228","0.471","3.020","173.712"
"71","GTD","Dominik Baumann","5","2:00.870","10:42.268","Green","Pit","10.987","13.951","9.617","20.180","7.721","6.352","5.910","10.055","7.054","6.315","9.035","0.000","0.000","0.000"
"88","GTD","Ian James","5","1:47.214","10:48.389","Green","Track","11.208","14.073","9.721","19.776","7.838","6.468","5.930","9.686","7.156","6.434","5.354","0.483","3.087","169.396"
"11","GTD","Rolf Ineichen","4","1:47.084","10:56.148","Green","Track","11.170","13.918","9.758","19.848","7.883","6.438","5.882","9.797","7.147","6.390","5.300","0.479","3.074","170.810"
"47","GTD","Don Yount","3","1:48.596","11:00.634","Green","Track","11.444","14.050","9.868","20.167","7.916","6.512","5.997","10.014","7.189","6.447","5.378","0.487","3.127","168.004"
"9","GTD","Zacharie Robichon","6","1:46.778","11:01.383","Green","Track","10.984","14.033","9.679","19.970","7.772","6.372","5.931","9.720","7.060","6.371","5.321","0.481","3.084","170.100"
"13","GTD","Victor Franzoni","5","1:57.969","11:10.770","Green","Track","11.152","14.682","14.633","24.937","7.828","6.410","5.911","9.981","7.152","6.367","5.337","0.483","3.096","169.396"
"29","GTD","Daniel Morad","5","1:46.293","11:13.764","Green","Track","10.902","13.911","9.646","19.799","7.858","6.436","5.885","9.569","7.087","6.365","5.307","0.477","3.051","171.527"
"14","GTD","Richard Heistand","6","1:45.989","11:19.139","Green","Track","11.106","14.029","9.571","19.814","7.765","6.345","5.862","9.456","6.994","6.282","5.265","0.476","3.024","171.887"
"19","GTD","Andrew Davis","6","1:46.270","11:23.525","Green","Track","11.063","14.050","9.684","19.733","7.836","6.374","5.870","9.469","7.100","6.322","5.269","0.474","3.026","172.612"
"63","GTD","Jeff Westphal","6","1:45.838","11:25.089","Green","Track","11.101","13.994","9.589","19.685","7.791","6.282","5.836","9.634","7.000","6.221","5.228","0.473","3.004","172.977"
"540","GTD","Marco Seefried","4","1:46.058","11:36.794","Green","Track","11.109","13.762","9.569","19.781","7.725","6.380","5.919","9.468","7.066","6.340","5.345","0.484","3.110","169.046"
"73","GTD","Patrick Lindsey","6","1:49.883","11:39.646","Green","Track","11.280","14.205","11.583","20.338","7.851","6.384","5.902","10.064","7.138","6.327","5.282","0.477","3.052","171.527"
"46","GTD","Emanuele Busnelli","6","1:46.768","11:42.928","Green","Track","11.227","14.052","9.650","19.850","7.808","6.368","5.846","9.829","7.087","6.292","5.246","0.475","3.038","172.249"
"8","GTD","Ezequiel Perez Companc","5","1:46.189","11:51.085","Green","Track","10.926","13.901","9.676","19.602","7.845","6.433","5.915","9.476","7.143","6.384","5.335","0.479","3.074","170.810"
"44","GTD","John Potter","6","1:47.879","12:13.216","Green","Track","11.282","14.097","9.788","19.927","7.879","6.456","5.934","10.006","7.202","6.403","5.337","0.482","3.086","169.747"
"99","GTD","Juergen Haering","6","1:49.408","12:15.586","Green","Track","11.737","14.216","9.879","20.445","7.811","6.361","5.912","10.619","7.187","6.334","5.308","0.480","3.119","170.455"
"12","GTD","Frank Montecalvo","6","1:46.093","12:28.095","Green","Track","10.897","14.015","9.613","19.898","7.750","6.340","5.824","9.612","7.102","6.351","5.226","0.470","2.995","174.081"
"88","GTD","Ian James","6","1:47.372","12:35.761","Green","Track","11.321","14.015","9.720","19.814","7.828","6.442","5.920","9.820","7.152","6.421","5.353","0.483","3.083","169.396"
"11","GTD","Rolf Ineichen","5","1:46.752","12:42.900","Green","Track","11.232","13.811","9.690","19.730","7.880","6.417","5.879","9.749","7.139","6.372","5.300","0.479","3.074","170.810"
"47","GTD","Don Yount","4","1:47.918","12:48.552","Green","Track","11.429","13.942","9.782","20.070","7.876","6.487","5.992","9.792","7.148","6.416","5.375","0.487","3.122","168.004"
"9","GTD","Zacharie Robichon","7","1:48.531","12:49.914","Green","Track","11.373","13.998","9.615","20.064","7.767","6.427","5.973","9.898","7.314","6.913","5.538","0.495","3.156","165.289"
"13","GTD","Victor Franzoni","6","1:46.456","12:57.226","Green","Track","11.319","13.795","9.643","19.793","7.796","6.383","5.898","9.521","7.067","6.340","5.332","0.482","3.087","169.747"
"29","GTD","Daniel Morad","6","1:45.819","12:59.583","Green","Track","10.974","13.860","9.660","19.702","7.824","6.408","5.872","9.291","7.063","6.351","5.299","0.476","3.039","171.887"
"14","GTD","Richard Heistand","7","1:46.233","13:05.372","Green","Track","11.056","14.075","9.583","19.967","7.720","6.329","5.859","9.523","7.017","6.312","5.283","0.476","3.033","171.887"
