"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"3","GT3P","Jeff Kingsley","5","2:28.862","10:39.124","Red","Pit","3.320","9.231","12.990","4.606","0.713","16.022","23.654","15.539","22.565","14.448","25.774","115.230"
"11","GT3P","Sean McAlister","5","2:27.880","10:40.946","Red","Pit","3.295","9.264","12.753","3.905","0.500","15.589","23.677","16.615","21.516","14.686","26.080","164.318"
"69","GT3P","Dan Hardee","4","2:37.529","10:45.278","Red","Pit","3.387","10.250","13.306","4.554","0.708","19.401","24.588","16.307","22.779","13.728","28.521","116.044"
"25","GT3P","Victor Gomez IV","5","2:31.947","10:48.432","Red","Pit","3.303","9.236","13.020","3.975","0.557","16.063","23.131","16.392","22.712","14.146","29.412","147.503"
"20","GT3P","Fred Poordad","5","2:25.867","10:49.797","Red","Pit","3.309","9.335","12.990","3.972","0.508","15.197","23.229","16.767","20.983","11.817","27.760","161.730"
"68","GT3P","Jeff Mosing","5","2:27.336","10:54.837","Red","Pit","3.322","9.260","12.851","3.956","0.505","15.135","23.243","16.510","22.231","11.133","29.190","162.691"
"52","GT3G","Kurt Fazekas","5","2:25.380","10:59.029","Red","Pit","3.407","9.347","13.115","4.066","0.520","15.377","24.301","19.806","26.087","12.182","17.172","157.998"
"27","GT3G","Sebastian Carazo","5","2:25.390","11:00.295","Red","Pit","3.407","9.315","12.963","4.022","0.514","15.267","24.854","19.799","25.812","12.172","17.265","159.843"
"36","GT3P","Vernon McClure","5","2:25.348","11:04.269","Red","Pit","3.368","9.519","13.116","3.995","0.509","15.315","24.519","18.499","25.737","12.151","18.620","161.413"
"9","GT3P","Mark Kvamme","5","2:25.760","11:07.760","Red","Pit","3.353","9.424","12.875","3.962","0.506","15.402","27.666","17.565","24.155","11.459","19.393","162.370"
"56","GT3P","David Baker","5","2:27.766","11:14.443","Red","Pit","3.334","9.480","13.003","3.988","0.509","15.687","25.884","16.807","24.555","12.244","22.275","161.413"
"61","GT3P","Scott Welham","5","2:28.970","11:20.425","Red","Pit","3.340","9.611","14.237","4.116","0.524","16.402","26.412","16.445","22.851","12.293","22.739","156.792"
"92","GT3P","Joseph Lombardo","5","2:28.973","11:24.019","Red","Pit","3.413","9.802","13.476","3.990","0.523","15.772","26.722","17.127","23.117","11.215","23.816","157.092"
"15","GT3G","Randal Bryant","5","2:32.891","11:33.370","Red","Pit","3.463","9.461","13.387","4.127","0.528","16.586","26.855","17.183","23.076","13.068","25.157","155.604"
"18","GT3G","Richard Edge","5","2:29.430","11:36.026","Red","Pit","3.465","9.643","13.274","4.245","0.666","17.386","26.492","17.100","23.781","11.447","21.931","123.362"
"48","GT3P","David Brule","5","2:43.137","11:57.531","Red","Pit","3.366","9.638","15.425","5.045","0.708","21.500","30.858","19.551","26.208","13.724","17.114","116.044"
"17","GT3G","Curt Swearingin","2","8:45.345","12:03.219","Red","Pit","4.343","10.505","17.605","6.557","0.945","21.029","28.634","17.272","21.604","9.221","387.630","86.941"
"4","GT3P","Michael Mennella","5","3:00.754","12:19.553","Red","Pit","3.348","9.618","20.260","6.211","0.889","23.334","31.590","22.374","26.924","13.625","22.581","92.417"
"65","GT3G","Efrin Castro","4","4:12.926","12:28.407","Red","Pit","3.471","9.715","13.230","4.076","0.583","16.404","23.760","16.317","23.534","13.835","128.001","140.925"
"22","GT3G","Bart Collins","5","3:02.926","12:30.700","Red","Pit","3.445","12.340","23.875","6.257","0.830","22.162","32.148","20.056","26.778","11.746","23.289","98.987"
