"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"59","GS","Rod Randall","3","1:35.953","6:24.028","Green","Track","5.007","8.511","5.173","10.343","8.553","2.172","0.581","8.584","17.525","17.764","6.547","5.193","140.823"
"31","GS","Jeff Courtney","3","1:36.685","6:31.587","Green","Track","5.058","8.813","5.062","10.029","8.613","2.164","0.577","8.202","18.056","18.100","6.666","5.345","141.799"
"7","GS","Alan Brynjolfsson","4","1:32.266","6:36.186","Green","Track","4.787","8.292","4.809","9.486","8.369","2.134","0.570","7.803","16.983","17.528","6.378","5.127","143.541"
"89","TCR","Chad Gilsinger","3","1:40.345","6:38.954","Green","Track","5.198","9.208","5.312","10.483","8.919","2.284","0.612","8.533","17.748","19.640","6.945","5.463","133.690"
"54","TCR","Michael Johnson","3","1:40.265","6:50.041","Green","Track","5.127","9.225","5.602","10.574","8.801","2.252","0.610","9.219","18.322","18.704","6.698","5.131","134.128"
"35","GS","James Cox","3","1:34.326","6:50.595","Green","Track","5.077","8.733","4.973","0.000","0.000","2.129","0.569","8.167","17.352","17.306","6.383","5.160","143.793"
"81","TCR","Marco Cirone","4","1:37.021","6:56.643","Green","Track","5.248","8.617","5.197","9.771","8.649","2.239","0.599","8.225","17.847","18.881","6.523","5.225","136.591"
"56","GS","Jeff Mosing","4","1:29.455","7:05.479","Green","Track","4.730","8.164","4.943","9.267","8.347","2.130","0.569","7.528","16.177","16.499","6.026","5.075","143.793"
"39","GS","Tyler McQuarrie","4","1:33.004","7:11.682","Green","Track","4.722","8.365","4.874","0.000","0.000","2.116","0.564","7.965","17.697","17.695","6.109","5.098","145.068"
"82","GS","James Clay","4","1:33.924","7:13.049","Green","Track","4.805","8.334","4.925","9.307","8.271","2.093","0.560","8.053","17.587","18.384","6.541","5.064","146.104"
"8","GS","Rodrigo Sales","4","1:37.214","7:14.050","Green","Track","4.903","8.768","5.086","9.830","8.516","2.152","0.576","8.156","17.711","19.295","6.802","5.419","142.045"
"60","GS","Nate Stacy","4","1:33.450","7:19.539","Green","Track","4.788","8.318","4.981","9.566","8.350","2.150","0.576","8.084","17.917","17.325","6.345","5.050","142.045"
"61","TCR","Gavin Ernstone","4","1:39.525","7:22.179","Green","Track","5.276","9.222","5.114","9.998","8.676","2.217","0.593","8.195","18.854","19.276","6.865","5.239","137.973"
"97","GS","Rob Ecklin Jr.","4","1:37.820","7:33.515","Green","Track","4.945","9.103","5.112","10.533","8.339","2.111","0.565","8.706","18.480","17.876","6.625","5.425","144.811"
"40","GS","James Pesek","4","1:37.036","7:33.960","Green","Track","5.041","8.910","5.270","10.186","8.488","2.146","0.575","8.700","17.934","17.809","6.692","5.285","142.292"
"88","GS","Henry Schmitt","4","1:38.374","7:34.514","Green","Track","5.210","9.002","5.118","10.538","8.596","2.178","0.582","9.031","18.297","17.869","6.541","5.412","140.581"
"21","TCR","Mason Filippi","4","1:41.762","7:38.059","Green","Track","5.350","9.066","5.448","10.420","8.646","2.210","0.591","8.886","18.273","20.400","7.252","5.220","138.440"
"2","GS","Kenton Koch","4","1:34.119","7:41.964","Green","Track","4.987","8.453","5.026","0.000","0.000","2.143","0.574","8.281","17.635","17.579","6.120","5.016","142.540"
"12","TCR","Ryan Nash","3","1:43.805","7:44.737","Green","Track","5.451","9.372","6.161","10.998","8.820","2.235","0.604","9.394","19.188","19.474","6.742","5.366","135.461"
"57","GS","Bryce Ward","4","1:37.638","7:44.978","Green","Track","5.200","8.712","5.382","11.136","8.746","2.158","0.573","8.207","17.687","17.988","6.637","5.212","142.789"
"33","GS","Russell Ward","4","1:37.804","7:45.650","Green","Track","5.485","9.039","5.161","0.000","0.000","2.137","0.569","8.962","17.749","17.854","6.474","5.119","143.793"
"4","GS","Ted Giovanis","3","1:44.993","7:48.091","Green","Track","5.279","9.359","5.551","11.269","8.979","2.194","0.585","9.137","19.495","20.476","7.052","5.617","139.860"
"71","GS","Frank DePew","4","1:44.667","7:50.345","Green","Track","5.301","9.510","5.412","11.499","8.582","2.154","0.597","9.511","19.456","19.647","7.090","5.908","137.049"
"98","TCR","Mark Wilkins","4","1:45.204","7:53.490","Green","Track","5.345","9.047","5.253","10.383","8.983","2.246","0.601","8.607","19.174","20.495","8.467","6.603","136.137"
