"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"86","GTD","Mario Farnbacher","16","1:41.704","42:23.240","Green","Track","5.084","9.119","5.040","10.840","8.017","2.023","0.546","8.975","19.181","19.355","7.569","5.955","149.850"
"33","GTD","Ben Keating","14","1:43.989","42:29.001","Green","Track","4.698","9.195","5.015","0.000","0.000","2.064","0.548","9.128","20.136","20.157","7.576","5.877","149.303"
"84","DPi","Simon Trummer","14","1:39.027","42:32.028","Green","Track","4.805","8.810","5.043","10.036","7.218","1.869","0.571","9.055","19.105","19.807","7.235","5.473","143.289"
"48","GTD","Ryan Hardwick","12","2:05.445","42:35.918","Green","Track","14.041","12.934","5.592","12.222","9.505","2.300","0.603","10.038","21.441","22.037","8.729","6.003","135.685"
"73","GTD","Marco Seefried","16","1:43.626","42:36.316","Green","Track","5.232","9.503","5.331","10.873","7.982","2.041","0.556","9.362","19.555","19.600","7.616","5.975","147.155"
"76","GTD","Matt Plumb","14","1:41.850","42:36.686","Green","Track","5.298","9.072","5.178","10.764","7.977","2.040","0.549","9.038","19.145","19.255","7.787","5.747","149.031"
"96","GTD","Robby Foley","16","1:40.685","42:43.079","Green","Track","4.999","8.946","5.003","10.696","7.880","1.996","0.538","8.900","19.331","19.207","7.553","5.636","152.078"
"63","GTD","Cooper MacNeil","15","1:47.467","42:50.695","Green","Track","5.243","9.753","5.428","11.007","8.021","2.107","0.645","10.058","20.762","20.762","7.691","5.990","126.850"
"5","DPi","Filipe Albuquerque","6","1:52.071","42:59.479","Green","Track","13.783","10.335","5.726","10.554","7.823","2.167","0.687","9.743","18.856","19.213","7.840","5.344","119.095"
"12","GTD","Frank Montecalvo","15","1:42.506","43:16.006","Green","Track","5.230","9.143","4.949","10.719","8.024","2.047","0.549","9.188","19.503","19.438","7.588","6.128","149.031"
"50","DPi","Kyle Kaiser","11","1:37.465","43:18.753","Green","Track","5.067","8.845","4.900","10.110","7.169","1.844","0.519","8.595","19.220","18.249","7.341","5.606","157.646"
