"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"18","LMP2","Ryan Cullen","1","27:31.693","27:31.693","Green","Track","32.917","19.971","11.125","21.942","7.547","6.092","5.684","9.441","6.721","5.887","4.975","0.452","2.897","181.014"
"52","LMP2","Gabriel Aubry","1","28:04.279","28:04.279","Green","Track","32.512","18.693","11.280","21.959","8.337","6.185","5.768","10.514","7.388","5.996","5.000","0.453","2.941","180.614"
"54","DPi","Jonathan Bennett","1","28:15.081","28:15.081","Green","Track","34.545","19.648","10.046","21.466","7.085","5.795","5.550","10.005","6.390","5.661","4.762","0.432","2.767","189.394"
"81","LMP2","James Allen","1","28:18.187","28:18.187","Green","Track","32.294","18.888","10.281","20.668","7.379","5.996","5.565","9.558","6.593","5.844","4.962","0.450","2.866","181.818"
"10","DPi","Jordan Taylor","1","28:48.239","28:48.239","Green","Track","32.679","19.163","10.388","20.822","7.097","5.847","5.570","9.640","6.437","5.701","4.796","0.435","2.783","188.088"
"77","DPi","Oliver Jarvis","1","28:52.998","28:52.998","Green","Track","0.000","18.320","9.725","20.163","6.928","5.729","5.410","8.899","6.183","5.579","4.723","0.428","2.751","191.164"
"38","LMP2","Kyle Masson","2","1:38.623","28:56.315","Green","Track","10.497","13.151","8.798","18.806","7.068","5.831","5.440","8.773","6.388","5.746","4.870","0.441","2.814","185.529"
"50","DPi","Agustin Canapino","1","28:58.262","28:58.262","Green","Track","0.000","16.839","9.623","19.998","6.981","5.783","7.181","10.193","6.359","5.661","4.764","0.432","2.759","189.394"
"18","LMP2","Ryan Cullen","2","1:40.410","29:12.103","Green","Track","10.444","13.364","9.184","19.312","7.244","5.986","5.547","8.703","6.550","5.819","4.937","0.448","2.872","182.630"
"84","DPi","Simon Trummer","1","29:20.873","29:20.873","Green","Track","0.000","21.960","13.498","25.201","7.579","5.947","6.875","10.898","6.518","5.754","4.797","0.434","2.864","188.521"
"85","DPi","Tristan Vautier","1","29:26.935","29:26.935","Green","Track","0.000","19.763","11.805","26.537","7.732","6.301","6.678","11.284","6.514","5.725","4.809","0.435","2.781","188.088"
"6","DPi","Juan Pablo Montoya","1","29:37.166","29:37.166","Green","Track","32.244","18.247","10.267","23.111","7.305","5.858","5.670","10.420","6.458","5.686","4.803","0.436","2.785","187.656"
"52","LMP2","Gabriel Aubry","2","1:41.761","29:46.040","Green","Track","11.297","13.790","8.963","19.728","7.058","5.860","5.610","9.074","6.446","5.740","4.906","0.443","2.846","184.691"
"7","DPi","Ricky Taylor","1","29:50.032","29:50.032","Green","Track","0.000","18.368","9.870","21.038","7.606","5.926","5.506","9.067","6.243","5.616","4.735","0.429","2.746","190.718"
"54","DPi","Jonathan Bennett","2","1:37.536","29:52.617","Green","Track","10.598","13.133","8.559","18.680","6.854","5.698","5.297","9.015","6.223","5.593","4.719","0.428","2.739","191.164"
"81","LMP2","James Allen","2","1:38.050","29:56.237","Green","Track","10.283","12.919","8.727","18.809","7.057","5.861","5.471","8.585","6.377","5.766","4.911","0.445","2.839","183.861"
"10","DPi","Jordan Taylor","2","1:35.984","30:24.223","Green","Track","10.196","12.899","8.570","18.155","6.907","5.757","5.333","8.357","6.225","5.633","4.754","0.431","2.767","189.833"
"77","DPi","Oliver Jarvis","2","1:33.848","30:26.846","Green","Track","9.846","12.712","8.349","17.895","6.724","5.643","5.238","8.000","6.091","5.518","4.683","0.424","2.725","192.967"
"55","DPi","Harry Tincknell","1","30:32.189","30:32.189","Green","Track","0.000","18.352","10.241","19.958","6.920","5.762","6.932","8.648","6.091","5.529","4.687","0.425","2.712","192.513"
"38","LMP2","Kyle Masson","3","1:37.973","30:34.288","Green","Track","10.222","13.083","8.798","18.590","7.033","5.834","5.436","8.728","6.405","5.740","4.858","0.440","2.806","185.950"
"50","DPi","Agustin Canapino","2","1:45.106","30:43.368","Green","Track","11.347","15.999","11.288","20.218","6.958","5.738","5.336","8.429","6.245","5.620","4.743","0.430","2.755","190.275"
"18","LMP2","Ryan Cullen","3","1:37.715","30:49.818","Green","Track","10.136","12.917","8.767","18.255","7.141","5.904","5.490","8.532","6.531","5.806","4.923","0.447","2.866","183.038"
"84","DPi","Simon Trummer","2","1:43.921","31:04.794","Green","Track","12.519","14.304","8.878","21.493","7.111","5.783","5.297","8.774","6.289","5.600","4.711","0.426","2.736","192.061"
"85","DPi","Tristan Vautier","2","1:45.529","31:12.464","Green","Track","10.499","12.914","10.756","23.436","7.544","6.008","5.567","8.960","6.297","5.629","4.747","0.430","2.742","190.275"
"6","DPi","Juan Pablo Montoya","2","1:41.734","31:18.900","Green","Track","10.557","15.134","8.799","18.539","6.862","5.749","6.866","9.351","6.301","5.668","4.732","0.430","2.746","190.275"
"52","LMP2","Gabriel Aubry","3","1:36.334","31:22.374","Green","Track","10.100","12.814","8.700","18.142","6.987","5.829","5.473","8.146","6.278","5.714","4.883","0.442","2.826","185.109"
"7","DPi","Ricky Taylor","2","1:35.677","31:25.709","Green","Track","10.010","12.798","8.544","18.824","6.978","5.700","5.286","8.061","6.100","5.535","4.694","0.426","2.721","192.061"
"54","DPi","Jonathan Bennett","3","1:36.253","31:28.870","Green","Track","10.219","12.842","8.497","18.476","6.788","5.672","5.280","8.836","6.199","5.566","4.712","0.428","2.738","191.164"
"81","LMP2","James Allen","3","1:36.387","31:32.624","Green","Track","9.900","12.764","8.757","18.157","6.977","5.834","5.458","8.282","6.341","5.746","4.897","0.444","2.830","184.275"
"10","DPi","Jordan Taylor","3","1:34.431","31:58.654","Green","Track","9.820","12.635","8.480","17.958","6.879","5.724","5.312","7.904","6.166","5.612","4.746","0.431","2.764","189.833"
"77","DPi","Oliver Jarvis","3","1:33.398","32:00.244","Green","Track","9.653","12.565","8.332","17.877","6.726","5.627","5.219","7.974","6.091","5.521","4.673","0.423","2.717","193.424"
"55","DPi","Harry Tincknell","2","1:33.452","32:05.641","Green","Track","9.866","12.616","8.364","17.822","6.723","5.623","5.224","7.930","6.028","5.479","4.654","0.422","2.701","193.882"
"38","LMP2","Kyle Masson","4","1:37.957","32:12.245","Green","Track","10.314","13.230","8.784","18.652","7.024","5.830","5.437","8.533","6.338","5.722","4.846","0.440","2.807","185.950"
"50","DPi","Agustin Canapino","3","1:37.034","32:20.402","Green","Track","10.027","13.086","8.931","19.042","6.913","5.725","5.326","8.278","6.203","5.595","4.734","0.430","2.744","190.275"
"5","DPi","Filipe Albuquerque","1","32:24.702","32:24.702","Green","Track","31.748","17.873","9.618","19.895","7.034","5.778","5.608","9.480","6.311","5.643","4.741","0.430","2.741","190.275"
"18","LMP2","Ryan Cullen","4","1:37.348","32:27.166","Green","Track","10.214","13.009","8.760","18.113","7.094","5.884","5.482","8.428","6.419","5.758","4.898","0.445","2.844","183.861"
"84","DPi","Simon Trummer","3","1:38.567","32:43.361","Green","Track","0.000","0.000","9.029","19.182","6.934","5.702","5.276","8.653","6.250","5.586","4.692","0.425","2.714","192.513"
