"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"21","TCR","Mason Filippi","6","2:11.703","13:02.912","Green","Pit","5.921","10.888","6.088","13.347","9.551","2.330","0.653","11.967","24.150","24.580","10.281","11.947","125.296"
"89","TCR","Chad Gilsinger","5","7:47.737","15:16.654","Finish","Pit","5.972","10.675","5.901","11.779","9.162","2.333","0.687","10.868","22.239","23.359","9.915","354.847","119.095"
"81","TCR","Marco Cirone","5","7:13.586","15:48.058","Finish","Pit","5.902","10.654","6.181","13.242","10.047","2.680","0.764","11.685","42.867","26.356","11.610","291.598","107.092"
"3","TCR","Mark Kvamme","4","9:27.029","15:51.906","Finish","Pit","6.235","10.463","5.636","12.826","9.862","2.473","0.656","11.303","24.488","24.663","10.831","447.593","124.723"
"5","TCR","Roy Block","4","9:36.666","15:57.012","Finish","Pit","5.372","10.327","5.681","11.710","9.041","2.384","0.667","11.139","25.473","26.851","12.288","455.733","122.666"
"23","TCR","Nick Galante","6","6:07.903","16:20.700","Finish","Pit","224.812","14.931","7.409","13.792","11.958","3.222","0.933","13.680","26.325","27.421","10.750","12.670","87.694"
"82","GS","James Clay","1","22:04.209","22:04.209","Green","Track","0.000","12.297","5.850","11.786","9.600","2.496","0.701","11.045","22.316","21.484","8.197","6.941","116.716"
"46","GS","Owen Trinkler","1","22:12.885","22:12.885","Green","Track","0.000","12.602","6.380","13.453","10.104","2.443","0.702","12.583","24.780","25.375","9.033","7.515","116.550"
"2","GS","Kenton Koch","1","22:20.327","22:20.327","Green","Track","19.083","14.701","6.025","0.000","0.000","2.846","0.767","11.108","21.206","20.063","7.691","5.932","106.673"
"75","GS","Paul Holton","1","22:20.905","22:20.905","Green","Track","18.120","14.030","6.310","12.278","9.881","3.084","0.807","10.974","21.182","20.018","7.573","5.941","101.386"
"7","GS","Alan Brynjolfsson","1","22:30.185","22:30.185","Green","Track","18.070","16.398","7.997","12.256","11.804","3.338","0.822","11.665","24.163","23.028","8.274","7.120","99.536"
"69","GS","Jesse Lazare","1","22:30.792","22:30.792","Green","Track","19.627","15.493","7.978","12.765","9.800","3.256","0.925","11.358","23.920","23.000","8.256","6.860","88.452"
