"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"24","GTLM","John Edwards","8","1:32.458","13:54.867","Green","Pit","0.626","6.970","2.929","4.017","10.805","7.696","5.566","4.270","11.764","18.900","3.842","15.073","131.789"
"3","GTLM","Antonio Garcia","10","1:17.003","14:21.710","Green","Track","0.622","6.965","2.858","4.051","10.742","7.718","5.514","4.301","11.565","15.617","1.698","5.352","132.637"
"66","GTLM","Sebastien Bourdais","8","1:16.779","14:42.479","Green","Track","0.630","7.023","2.841","4.020","10.653","7.677","5.520","4.252","11.481","15.606","1.689","5.387","130.952"
"911","GTLM","Nick Tandy","10","1:33.247","14:42.506","Green","Pit","0.626","6.956","2.836","3.950","10.578","7.607","5.468","4.311","12.479","18.658","4.661","15.117","131.789"
"67","GTLM","Ryan Briscoe","8","1:29.686","14:45.316","Green","Pit","0.628","7.035","2.861","4.022","10.828","7.738","5.542","4.257","11.553","16.256","3.896","15.070","131.369"
"912","GTLM","Laurens Vanthoor","10","1:16.377","14:48.837","Green","Track","0.626","6.957","2.794","4.013","10.612","7.602","5.485","4.236","11.476","15.590","1.656","5.330","131.789"
"3","GTLM","Antonio Garcia","11","1:16.871","15:38.581","Finish","Track","0.623","6.975","2.833","4.021","10.720","7.713","5.490","4.312","11.565","15.617","1.680","5.322","132.424"
"10","DPi","Jordan Taylor","1","21:30.036","21:30.036","Green","Track","0.000","0.000","0.000","0.000","12.690","8.051","6.011","4.330","11.814","17.555","1.603","4.979","0.000"
"31","DPi","Felipe Nasr","1","21:42.594","21:42.594","Green","Track","0.000","0.000","0.000","0.000","14.051","10.577","7.561","5.077","12.356","16.796","1.796","5.412","0.000"
"5","DPi","Joao Barbosa","1","21:46.180","21:46.180","Green","Track","0.000","0.000","0.000","0.000","16.272","8.800","7.558","4.726","12.444","18.612","1.608","5.002","0.000"
"84","DPi","Simon Trummer","1","21:47.566","21:47.566","Green","Track","0.000","0.000","0.000","0.000","16.396","8.533","7.088","4.740","12.793","18.962","1.546","5.168","0.000"
"55","DPi","Jonathan Bomarito","1","21:55.459","21:55.459","Green","Track","0.000","0.000","0.000","0.000","14.322","9.058","7.987","5.642","14.323","21.813","1.636","4.879","0.000"
"77","DPi","Tristan Nunez","1","21:59.656","21:59.656","Green","Track","0.000","0.000","0.000","0.000","14.349","11.834","8.686","4.968","14.765","19.989","1.758","4.958","0.000"
"6","DPi","Juan Pablo Montoya","1","22:15.245","22:15.245","Green","Track","0.000","0.000","0.000","0.000","13.858","8.919","6.667","4.509","13.754","17.252","1.681","4.974","0.000"
"85","DPi","Misha Goikhberg","1","22:18.777","22:18.777","Green","Track","0.000","0.000","0.000","0.000","13.193","8.388","6.084","4.552","13.672","17.159","1.594","4.994","0.000"
"54","DPi","Jonathan Bennett","1","22:40.382","22:40.382","Green","Track","0.000","0.000","0.000","0.000","13.444","8.665","6.891","4.673","12.976","17.984","1.694","4.976","0.000"
"10","DPi","Jordan Taylor","2","1:16.065","22:46.101","Green","Track","0.585","6.550","2.934","4.063","10.899","7.356","5.606","4.033","11.078","16.382","1.610","4.969","141.026"
"31","DPi","Felipe Nasr","2","1:17.125","22:59.719","Green","Track","0.638","7.270","3.202","4.325","11.175","7.511","5.669","4.066","11.252","15.536","1.562","4.919","129.310"
"5","DPi","Joao Barbosa","2","1:19.821","23:06.001","Green","Track","0.587","6.670","3.610","4.680","12.234","7.982","5.953","4.022","11.395","16.135","1.592","4.961","140.545"
"84","DPi","Simon Trummer","2","1:20.683","23:08.249","Green","Track","0.617","6.967","3.488","4.428","11.821","8.009","6.089","4.125","11.723","16.962","1.531","4.923","133.712"
"55","DPi","Jonathan Bomarito","2","1:18.840","23:14.299","Green","Track","0.566","6.388","3.048","4.156","11.466","7.584","5.655","4.051","11.008","18.438","1.618","4.862","145.760"
"77","DPi","Tristan Nunez","2","1:18.886","23:18.542","Green","Track","0.570","6.417","3.016","4.142","11.162","7.513","5.657","3.965","11.363","18.608","1.615","4.858","144.737"
"6","DPi","Juan Pablo Montoya","2","1:16.085","23:31.330","Green","Track","0.576","6.426","2.951","4.324","11.406","7.730","5.630","4.248","10.874","15.398","1.620","4.902","143.229"
"85","DPi","Misha Goikhberg","2","1:15.155","23:33.932","Green","Track","0.587","6.569","3.035","4.106","10.948","7.397","5.538","4.075","10.932","15.377","1.609","4.982","140.545"
"7","DPi","Helio Castroneves","1","23:42.715","23:42.715","Green","Track","0.000","0.000","0.000","0.000","12.747","8.274","6.277","4.421","11.615","15.864","1.587","4.877","0.000"
"54","DPi","Jonathan Bennett","2","1:19.015","23:59.397","Green","Track","0.570","6.344","3.209","4.369","11.781","8.087","6.026","4.352","11.355","16.499","1.574","4.849","144.737"
"10","DPi","Jordan Taylor","3","1:21.740","24:07.841","Green","Track","0.582","6.526","2.733","3.959","10.741","7.289","5.419","3.993","11.117","22.871","1.563","4.947","141.753"
"31","DPi","Felipe Nasr","3","1:12.246","24:11.965","Green","Track","0.579","6.473","2.657","3.859","10.391","7.167","5.199","3.990","10.700","14.741","1.564","4.926","142.487"
"5","DPi","Joao Barbosa","3","1:14.417","24:20.418","Green","Track","0.582","6.534","3.002","4.083","10.752","7.421","5.607","3.901","10.954","15.066","1.566","4.949","141.753"
"84","DPi","Simon Trummer","3","1:14.729","24:22.978","Green","Track","0.581","6.554","2.883","3.890","10.611","7.225","5.473","4.035","11.410","15.620","1.521","4.926","141.997"
"55","DPi","Jonathan Bomarito","3","1:13.330","24:27.629","Green","Track","0.564","6.373","2.783","4.022","10.693","7.152","5.331","3.956","10.803","15.192","1.615","4.846","146.277"
"77","DPi","Tristan Nunez","3","1:13.245","24:31.787","Green","Track","0.565","6.391","2.778","3.992","10.730","7.206","5.388","3.922","10.815","15.004","1.604","4.850","146.018"
"6","DPi","Juan Pablo Montoya","3","1:11.961","24:43.291","Green","Track","0.568","6.387","2.588","3.803","10.334","7.253","5.150","3.971","10.649","14.690","1.640","4.928","145.246"
"85","DPi","Misha Goikhberg","3","1:13.934","24:47.866","Green","Track","0.586","6.552","2.786","4.032","10.551","7.251","5.421","4.116","10.888","15.208","1.578","4.965","140.785"
"7","DPi","Helio Castroneves","2","1:13.852","24:56.567","Green","Track","0.569","6.407","2.701","3.863","10.711","7.324","5.412","4.015","10.850","15.595","1.566","4.839","144.991"
"54","DPi","Jonathan Bennett","3","1:14.926","25:14.323","Green","Track","0.565","6.316","2.811","4.094","10.921","7.538","5.653","4.022","10.738","15.819","1.583","4.866","146.018"
"10","DPi","Jordan Taylor","4","1:13.059","25:20.900","Green","Track","0.581","6.518","2.642","3.850","10.366","7.271","5.343","4.040","10.847","15.113","1.567","4.921","141.997"
"31","DPi","Felipe Nasr","4","1:11.925","25:23.890","Green","Track","0.580","6.470","2.630","3.763","10.253","7.222","5.170","3.979","10.661","14.695","1.575","4.927","142.241"
"5","DPi","Joao Barbosa","4","1:13.114","25:33.532","Green","Track","0.583","6.513","2.744","3.837","10.362","7.319","5.430","3.959","10.857","15.018","1.557","4.935","141.509"
"84","DPi","Simon Trummer","4","1:13.056","25:36.034","Green","Track","0.582","6.542","2.711","3.858","10.408","7.148","5.269","4.056","10.877","15.044","1.596","4.965","141.753"
