"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"86","LMP3","Paul LaHaye","24","4:38.164","1:03:46.727","Green","Pit","6.299","6.238","26.285","16.168","28.166","9.529","19.813","0.562","15.856","4.700","144.548","150.841","36.750"
"70","LMP3","Jonatan Jorge","24","2:01.761","1:03:47.267","Green","Track","5.935","5.638","24.996","15.464","26.636","8.892","18.481","0.553","10.887","1.488","2.791","153.296","116.080"
"4","LMP3","Neil Alberico","24","2:24.285","1:04:02.370","Green","Track","23.038","10.278","25.727","15.821","26.761","9.051","18.360","0.561","10.435","1.469","2.784","151.110","117.582"
"12","LMP3","Tim Moser","24","4:53.924","1:04:56.757","Green","Track","147.156","19.128","34.305","17.270","29.904","9.712","19.346","0.571","12.114","1.546","2.872","148.464","111.725"
"25","LMP3","Aaron Povoledo","24","2:03.859","1:04:58.714","Green","Track","5.986","5.841","25.273","15.835","27.235","9.144","18.413","0.556","11.158","1.550","2.868","152.469","111.437"
"33","LMP3","Lance Willsey","26","2:04.131","1:05:11.685","Green","Track","5.970","5.639","25.537","15.773","27.340","9.224","18.760","0.556","11.023","1.498","2.811","152.469","115.305"
"47","LMP3","Austin McCusker","25","2:25.072","1:05:17.482","Green","Track","22.617","10.607","26.529","15.717","27.140","9.012","18.329","0.543","10.365","1.465","2.748","156.119","117.903"
"23","LMP3","Anthony Simone","25","1:59.961","1:05:18.579","Green","Track","0.000","0.000","24.593","0.000","0.000","8.885","18.361","0.542","10.293","1.468","2.748","156.407","117.662"
"51","LMP3","Garett Grist","25","1:59.951","1:05:22.880","Green","Track","5.867","5.402","24.770","15.296","26.356","8.880","18.179","0.554","10.402","1.471","2.774","153.019","117.422"
"40","LMP3","Keith Grant","25","2:02.649","1:05:26.844","Green","Track","5.946","5.724","25.203","15.726","26.732","9.072","18.807","0.560","10.557","1.502","2.820","151.380","114.998"
"7","LMP3","Max Hanratty","25","2:01.417","1:05:35.404","Green","Track","5.913","5.571","24.977","15.579","26.562","8.993","18.502","0.555","10.483","1.488","2.794","152.744","116.080"
"54","LMP3","Dylan Murry","25","2:00.412","1:05:36.787","Green","Track","5.914","5.614","24.624","15.283","26.486","8.970","18.077","0.550","10.608","1.495","2.791","154.132","115.537"
"26","LMP3","Matthew Bell","25","1:59.383","1:05:37.404","Green","Track","5.835","5.277","24.512","15.192","26.511","8.930","18.118","0.555","10.225","1.461","2.767","152.744","118.225"
"60","LMP3","Tonis Kasemets","23","2:01.717","1:05:41.141","Green","Track","5.820","5.662","25.296","15.658","26.568","8.836","18.462","0.549","10.628","1.470","2.768","154.413","117.502"
"64","LMP3","Alex Barron","25","4:27.473","1:05:43.233","Green","Track","144.029","9.803","26.566","16.123","27.365","9.186","18.519","0.560","11.043","1.482","2.797","151.380","116.550"
"75","LMP3","James French","25","4:26.719","1:05:44.432","Green","Track","142.837","10.396","27.622","16.288","26.873","9.117","18.428","0.557","10.345","1.473","2.783","152.195","117.262"
"74","LMP3","Colin Thompson","25","2:04.182","1:05:45.273","Green","Track","5.835","5.614","26.321","16.250","27.452","8.965","18.339","0.542","10.629","1.472","2.763","156.407","117.342"
"10","LMP3","Joe Robillard","25","2:05.690","1:05:46.173","Green","Track","0.000","0.000","26.489","17.072","27.420","9.123","18.376","0.540","10.688","1.499","2.786","156.987","115.228"
"70","LMP3","Jonatan Jorge","25","2:00.980","1:05:48.247","Green","Track","5.856","5.523","25.004","15.304","26.699","8.921","18.159","0.549","10.687","1.487","2.791","154.413","116.158"
"55","LMP3","Nikko Reger","25","5:12.687","1:06:02.322","Green","Pit","5.834","5.630","25.133","15.639","27.183","9.065","18.281","0.540","11.254","3.177","190.951","156.987","54.368"
"4","LMP3","Neil Alberico","25","2:00.549","1:06:02.919","Green","Track","5.907","5.506","24.581","15.455","26.443","8.854","18.480","0.561","10.497","1.475","2.790","151.110","117.103"
"86","LMP3","Dave House","25","2:38.521","1:06:25.248","Green","Track","24.286","13.008","30.210","16.505","29.053","9.465","19.461","0.565","11.432","1.594","2.942","150.040","108.361"
"12","LMP3","Tim Moser","25","2:07.317","1:07:04.074","Green","Track","6.208","6.063","26.204","16.211","28.016","9.328","18.917","0.561","11.448","1.515","2.846","151.110","114.011"
"25","LMP3","Aaron Povoledo","25","2:05.561","1:07:04.275","Green","Track","6.018","5.883","25.387","15.722","27.962","9.355","18.832","0.551","11.509","1.515","2.827","153.852","114.011"
"43","LMP3","Stevan McAleer","26","4:23.843","1:07:15.039","Green","Track","142.158","10.516","26.055","0.000","0.000","8.970","18.320","0.542","10.588","1.462","2.754","156.407","118.145"
"33","LMP3","Lance Willsey","27","2:04.022","1:07:15.707","Green","Track","6.002","5.702","25.302","15.942","27.118","9.169","18.656","0.558","11.255","1.505","2.813","151.922","114.769"
"47","LMP3","Austin McCusker","26","1:58.974","1:07:16.456","Green","Track","5.782","5.388","24.490","15.122","26.235","8.848","18.084","0.545","10.289","1.456","2.735","155.546","118.631"
"23","LMP3","Anthony Simone","26","1:59.388","1:07:17.967","Green","Track","0.000","0.000","24.522","0.000","0.000","8.807","18.311","0.541","10.318","1.463","2.746","156.696","118.064"
"51","LMP3","Garett Grist","26","1:59.265","1:07:22.145","Green","Track","5.838","5.358","24.461","15.175","26.196","8.825","18.205","0.553","10.403","1.474","2.777","153.296","117.183"
"40","LMP3","Keith Grant","26","2:01.583","1:07:28.427","Green","Track","5.968","5.769","24.897","15.419","26.551","9.054","18.490","0.557","10.559","1.500","2.819","152.195","115.152"
"7","LMP3","Max Hanratty","26","2:00.999","1:07:36.403","Green","Track","5.926","5.514","25.037","15.380","26.543","8.954","18.344","0.555","10.481","1.480","2.785","152.744","116.708"
"26","LMP3","Matthew Bell","26","1:59.555","1:07:36.959","Green","Track","5.821","5.289","24.802","15.427","26.258","8.761","18.200","0.556","10.218","1.458","2.765","152.469","118.469"
"54","LMP3","Dylan Murry","26","2:01.696","1:07:38.483","Green","Track","5.888","5.665","25.245","15.685","26.442","8.981","18.321","0.550","10.672","1.477","2.770","154.132","116.945"
"60","LMP3","Tonis Kasemets","24","2:00.744","1:07:41.885","Green","Track","5.819","5.462","24.802","15.553","26.619","8.879","18.219","0.548","10.615","1.469","2.759","154.695","117.582"
"64","LMP3","Alex Barron","26","2:01.446","1:07:44.679","Green","Track","5.942","5.686","24.838","15.319","26.532","9.038","18.473","0.560","10.779","1.484","2.795","151.380","116.393"
"75","LMP3","James French","26","2:00.619","1:07:45.051","Green","Track","5.878","5.635","24.817","15.300","26.503","8.923","18.304","0.552","10.447","1.480","2.780","153.574","116.708"
"74","LMP3","Colin Thompson","26","2:00.976","1:07:46.249","Green","Track","5.789","5.558","24.875","15.481","26.761","8.964","18.260","0.542","10.522","1.469","2.755","156.407","117.582"
"10","LMP3","Joe Robillard","26","2:01.733","1:07:47.906","Green","Track","0.000","0.000","24.975","0.000","0.000","8.958","18.402","0.541","10.942","1.465","2.742","156.696","117.903"
"70","LMP3","Jonatan Jorge","26","2:00.656","1:07:48.903","Green","Track","5.845","5.586","24.827","15.254","26.621","8.878","18.202","0.550","10.632","1.481","2.780","154.132","116.629"
"4","LMP3","Neil Alberico","26","2:02.248","1:08:05.167","Green","Track","5.901","5.405","26.265","15.553","26.715","8.894","18.317","0.559","10.399","1.466","2.774","151.651","117.822"
"55","LMP3","Timo Reger","26","2:26.765","1:08:29.087","Green","Track","22.769","10.706","27.459","15.815","26.916","9.177","18.513","0.547","10.624","1.473","2.766","154.978","117.262"
"86","LMP3","Dave House","26","2:09.387","1:08:34.635","Green","Track","6.153","6.138","26.851","16.370","28.162","9.601","19.355","0.564","11.629","1.609","2.955","150.306","107.351"
"9","LMP3","Scott Andrews","2","1:05:43.667","1:09:00.154","Green","Track","22.770","11.474","48.323","17.060","29.129","9.430","18.956","0.551","11.414","1.521","2.823","153.852","113.562"
"25","LMP3","Aaron Povoledo","26","2:03.462","1:09:07.737","Green","Track","5.975","5.977","25.468","15.643","27.055","9.142","18.574","0.556","10.773","1.493","2.806","152.469","115.691"
"12","LMP3","Tim Moser","26","2:06.308","1:09:10.382","Green","Track","6.022","5.926","26.065","16.169","27.589","9.137","18.949","0.557","11.593","1.496","2.805","152.195","115.459"
"43","LMP3","Stevan McAleer","27","1:59.269","1:09:14.308","Green","Track","0.000","0.000","24.603","0.000","0.000","8.827","18.021","0.540","10.467","1.462","2.746","156.987","118.145"
"47","LMP3","Austin McCusker","27","2:02.008","1:09:18.464","Green","Track","5.752","5.515","25.402","15.838","27.371","8.893","18.099","0.542","10.369","1.471","2.756","156.407","117.422"
