"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"50","DPi","Kyle Kaiser","5","1:16.287","14:41.701","Green","Track","0.577","6.468","2.751","4.009","10.929","7.465","5.843","4.065","11.278","16.336","1.619","4.947","142.981"
"31","DPi","Felipe Nasr","7","1:14.713","14:43.715","Green","Track","0.579","6.421","2.813","4.004","10.729","7.364","5.536","4.001","10.976","15.741","1.608","4.941","142.487"
"84","DPi","Stephen Simpson","9","1:14.757","14:46.274","Green","Track","0.584","6.485","2.712","4.006","10.789","7.299","5.525","4.072","11.221","15.483","1.601","4.980","141.267"
"5","DPi","Joao Barbosa","10","1:14.469","14:53.499","Green","Track","0.580","6.450","2.807","4.138","10.724","7.278","5.481","4.003","10.988","15.438","1.620","4.962","142.241"
"85","DPi","Misha Goikhberg","5","5:57.613","15:14.458","Green","Track","0.000","0.000","0.000","0.000","14.922","9.181","7.442","4.727","12.549","18.644","1.655","4.998","0.000"
"25","GTLM","Tom Blomqvist","4","1:27.808","15:20.413","Green","Track","0.649","7.190","3.781","5.066","12.247","8.112","6.256","4.654","12.907","19.662","1.768","5.516","127.119"
"54","DPi","Jonathan Bennett","7","1:19.442","15:23.130","Green","Track","0.562","6.239","2.713","5.344","11.834","7.944","5.840","4.094","11.352","17.003","1.632","4.885","146.797"
"6","DPi","Juan Pablo Montoya","6","1:29.478","15:28.991","Green","Pit","0.568","6.351","2.928","4.100","10.807","7.479","5.565","4.171","11.702","16.824","3.899","15.084","145.246"
"55","DPi","Jonathan Bomarito","5","1:18.931","15:32.023","Green","Track","0.566","6.382","3.085","4.421","11.923","7.864","5.671","4.054","11.346","17.046","1.655","4.918","145.760"
"67","GTLM","Ryan Briscoe","2","12:29.489","15:32.243","Green","Track","0.000","0.000","0.000","0.000","14.587","9.437","7.455","5.193","13.235","19.020","1.826","5.576","0.000"
"4","GTLM","Oliver Gavin","8","1:19.913","15:33.825","Green","Track","0.626","6.966","3.079","4.273","11.328","8.069","5.764","4.384","11.932","16.387","1.713","5.392","131.789"
"912","GTLM","Laurens Vanthoor","9","1:20.398","15:39.767","Green","Track","0.630","6.947","3.229","4.322","11.219","7.941","5.967","4.300","12.068","16.691","1.694","5.390","130.952"
"911","GTLM","Patrick Pilet","9","1:20.622","15:50.595","Green","Track","0.626","6.939","3.083","4.299","11.349","7.960","5.902","4.296","12.001","17.108","1.690","5.369","131.789"
"50","DPi","Kyle Kaiser","6","1:16.507","15:58.208","Green","Track","0.576","6.447","2.907","4.051","11.016","7.492","5.953","4.142","11.116","16.274","1.596","4.937","143.229"
"31","DPi","Felipe Nasr","8","1:15.197","15:58.912","Green","Track","0.577","6.409","2.703","4.004","10.812","7.396","5.589","4.088","11.375","15.739","1.579","4.926","142.981"
"3","GTLM","Jan Magnussen","9","1:21.533","16:01.168","Green","Track","0.629","7.004","3.085","4.377","11.327","7.968","6.437","4.384","12.281","16.936","1.713","5.392","131.161"
"84","DPi","Stephen Simpson","10","1:15.894","16:02.168","Green","Track","0.584","6.494","2.662","3.975","10.847","7.310","5.519","4.120","11.119","16.657","1.620","4.987","141.267"
"5","DPi","Joao Barbosa","11","1:14.268","16:07.767","Green","Track","0.580","6.454","2.748","4.109","10.648","7.267","5.505","3.958","11.013","15.383","1.634","4.969","142.241"
"66","GTLM","Dirk Mueller","2","13:52.158","16:27.111","Green","Track","0.000","0.000","0.000","0.000","14.078","9.344","6.849","4.877","12.953","18.607","1.823","5.578","0.000"
"85","DPi","Misha Goikhberg","6","1:20.315","16:34.773","Green","Track","0.586","6.507","3.219","4.572","11.811","8.141","6.033","4.231","11.634","16.970","1.629","4.982","140.785"
"54","DPi","Jonathan Bennett","8","1:19.340","16:42.470","Green","Track","0.564","6.218","3.150","4.452","11.775","7.908","6.053","4.156","11.474","17.115","1.611","4.864","146.277"
"25","GTLM","Tom Blomqvist","5","1:25.432","16:45.845","Green","Track","0.643","7.080","3.789","4.873","12.175","8.148","6.604","4.489","12.414","18.027","1.730","5.460","128.305"
"55","DPi","Jonathan Bomarito","6","1:16.874","16:48.897","Green","Track","0.566","6.339","2.863","4.245","11.525","7.715","5.610","4.081","11.216","16.160","1.647","4.907","145.760"
"4","GTLM","Oliver Gavin","9","1:19.948","16:53.773","Green","Track","0.625","6.952","3.100","4.291","11.325","7.975","5.727","4.429","11.949","16.447","1.726","5.402","132.000"
"67","GTLM","Ryan Briscoe","3","1:26.144","16:58.387","Green","Track","0.645","7.171","3.488","5.030","13.078","8.347","6.322","4.633","12.478","17.725","1.743","5.484","127.907"
"912","GTLM","Laurens Vanthoor","10","1:20.103","16:59.870","Green","Track","0.629","6.935","3.164","4.337","11.199","7.988","5.898","4.239","11.954","16.713","1.689","5.358","131.161"
"7","DPi","Ricky Taylor","4","7:23.628","17:04.952","Green","Track","0.000","0.000","0.000","0.000","13.100","8.317","6.479","4.167","11.404","17.392","1.719","4.967","0.000"
"911","GTLM","Patrick Pilet","10","1:20.569","17:11.164","Green","Track","0.627","6.946","3.065","4.277","11.324","7.980","5.921","4.302","12.112","16.989","1.675","5.351","131.579"
"50","DPi","Kyle Kaiser","7","1:15.299","17:13.507","Green","Track","0.580","6.454","2.765","4.027","10.781","7.390","5.731","3.985","11.062","15.966","1.612","4.946","142.241"
"84","DPi","Stephen Simpson","11","1:18.145","17:20.313","Green","Track","0.582","6.473","3.291","4.418","11.374","7.719","5.822","4.064","11.401","16.459","1.582","4.960","141.753"
"5","DPi","Joao Barbosa","12","1:13.966","17:21.733","Green","Track","0.580","6.447","2.769","4.075","10.568","7.258","5.390","3.986","10.924","15.386","1.621","4.962","142.241"
"3","GTLM","Jan Magnussen","10","1:22.624","17:23.792","Green","Track","0.627","6.974","3.131","4.315","11.240","7.886","5.863","4.343","11.907","19.257","1.698","5.383","131.579"
"31","DPi","Felipe Nasr","9","1:31.559","17:30.471","Green","Pit","0.576","6.414","2.777","3.963","10.989","7.648","5.938","4.354","11.695","16.806","5.085","15.314","143.229"
"24","GTLM","Jesse Krohn","7","3:34.440","17:38.013","Green","Track","0.000","0.000","0.000","0.000","12.826","8.695","6.433","4.523","12.524","17.576","1.749","5.475","0.000"
"66","GTLM","Dirk Mueller","3","1:23.684","17:50.795","Green","Track","0.645","7.150","3.296","4.502","12.028","8.435","6.271","4.524","12.215","17.428","1.724","5.466","127.907"
"85","DPi","Misha Goikhberg","7","1:17.409","17:52.182","Green","Track","0.582","6.473","2.886","4.204","11.118","7.693","6.118","4.141","11.387","16.224","1.616","4.967","141.753"
"54","DPi","Jonathan Bennett","9","1:16.745","17:59.215","Green","Track","0.562","6.242","2.871","4.224","11.226","7.666","5.686","4.082","11.387","16.307","1.613","4.879","146.797"
"55","DPi","Jonathan Bomarito","7","1:16.291","18:05.188","Green","Track","0.565","6.335","3.037","4.360","11.354","7.562","5.415","4.070","11.126","15.875","1.659","4.933","146.018"
"4","GTLM","Oliver Gavin","10","1:19.676","18:13.449","Green","Track","0.627","6.978","3.044","4.255","11.171","7.990","5.776","4.390","11.987","16.308","1.734","5.416","131.579"
"7","DPi","Ricky Taylor","5","1:18.245","18:23.197","Green","Track","0.571","6.380","3.014","4.167","11.335","7.571","5.851","4.030","11.024","17.669","1.688","4.945","144.483"
"67","GTLM","Ryan Briscoe","4","1:27.483","18:25.870","Green","Track","0.637","7.082","3.239","4.466","11.796","8.133","6.249","4.547","14.861","19.269","1.730","5.474","129.513"
"25","GTLM","Tom Blomqvist","6","1:41.652","18:27.497","Green","Track","0.639","8.124","4.714","5.366","13.565","9.496","7.185","5.516","15.042","24.564","1.870","5.571","129.108"
"50","DPi","Kyle Kaiser","8","1:15.917","18:29.424","Green","Track","0.578","6.437","2.922","4.065","10.901","7.505","5.794","4.072","11.248","15.833","1.616","4.946","142.734"
"84","DPi","Stephen Simpson","12","1:14.613","18:34.926","Green","Track","0.582","6.488","2.775","4.005","10.764","7.305","5.478","4.020","11.065","15.542","1.605","4.984","141.753"
"912","GTLM","Laurens Vanthoor","11","1:35.135","18:35.005","Green","Pit","0.631","6.909","3.238","4.336","11.505","7.909","6.812","4.453","12.191","18.189","3.838","15.124","130.745"
"5","DPi","Joao Barbosa","13","1:20.520","18:42.253","Green","Track","0.580","6.441","2.758","4.028","10.734","7.299","5.449","4.025","11.121","21.552","1.594","4.939","142.241"
"3","GTLM","Jan Magnussen","11","1:19.951","18:43.743","Green","Track","0.628","6.977","3.062","4.300","11.227","7.888","5.824","4.355","11.947","16.632","1.714","5.397","131.369"
